BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Wendle2B-SS,3,0,0,0,0,2,0,.267,.714
BertiLF-2B,4,0,3,0,0,0,0,.277,.751
Cooper1B,3,0,0,0,1,1,3,.300,.827
1-HamiltonPR-LF,0,1,0,0,0,0,0,.000,.000
AguilarDH-1B,4,0,0,0,0,2,3,.250,.705
"Sánchez, JCF",4,1,1,0,0,1,2,.209,.663
"Anderson, B3B",4,0,0,0,0,3,3,.257,.741
De La CruzRF,4,0,1,0,0,1,0,.226,.667
"Rojas, MSS",2,0,0,0,0,0,0,.251,.676
"Williams, LLF",2,0,1,1,0,0,0,.275,.712
"Scott, TanP",0,0,0,0,0,0,0,.000,.000
StallingsC,4,0,0,0,0,2,2,.187,.487
,34,2,6,1,1,12,13,,
