BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Newman2B,3,0,0,0,1,1,1,.267,.681
Hayes3B,3,0,1,0,2,1,1,.251,.688
Chavis1B,4,0,0,0,0,2,4,.232,.689
b-VanMeterPH-1B,1,0,0,0,0,0,1,.191,.570
TsutsugoDH,5,2,1,0,0,3,2,.182,.523
"Castillo, DRF",4,0,1,0,0,1,0,.209,.631
1-SuwinskiPR-LF,1,0,0,0,0,0,1,.198,.716
GamelLF-RF,4,0,1,1,0,2,2,.249,.724
MarisnickCF,4,0,1,0,1,1,2,.222,.634
"Cruz, OSS",4,0,1,0,1,3,3,.212,.688
DelayC,2,0,0,0,0,1,0,.292,.737
a-VogelbachPH,1,0,0,0,0,1,2,.232,.779
"Perez, MC",1,0,0,0,1,0,2,.150,.527
,37,2,6,1,6,16,21,,
