BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
La Stella3B,5,0,0,0,0,2,3,.231,.629
PedersonLF,2,0,0,0,0,0,0,.244,.815
a-SlaterPH-CF,2,1,1,0,0,0,0,.287,.833
Flores2B,4,1,1,0,0,0,1,.245,.763
Belt1B,3,0,1,1,1,1,1,.234,.740
"Gonzalez, LRF-LF-RF",3,1,0,0,1,1,2,.289,.773
EstradaSS,4,0,3,1,0,1,0,.262,.726
YastrzemskiCF-RF,2,0,0,0,0,1,1,.230,.728
b-RufPH-LF,2,0,0,0,0,0,2,.222,.714
Wade Jr.DH,2,0,1,0,0,1,0,.182,.635
"c-Mercedes, YPH-DH",1,0,0,0,1,0,1,.234,.749
WynnsC,4,0,0,0,0,0,4,.208,.544
,34,3,7,2,3,7,15,,
