BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SlaterRF-CF,5,0,0,0,0,2,3,.269,.781
Flores2B,3,0,1,0,0,1,0,.253,.786
Belt1B,4,0,2,0,0,1,1,.238,.743
"Mercedes, YDH",3,0,0,0,0,0,3,.242,.706
b-La StellaPH-DH,1,0,0,0,0,0,1,.244,.661
"Davis, J3B",4,0,1,0,0,0,0,.238,.679
"Gonzalez, LLF",3,0,1,0,1,1,0,.286,.769
BartC,4,0,3,0,0,0,0,.205,.677
1-WynnsPR,0,0,0,0,0,0,0,.211,.563
"Machado, DSS",3,0,0,0,0,2,4,.167,.453
c-Wade Jr.PH,0,0,0,0,0,0,0,.172,.620
"Johnson, BCF",2,0,0,0,0,1,0,.000,.000
a-YastrzemskiPH-RF,2,0,0,0,0,0,6,.224,.708
,34,0,8,0,1,8,18,,
