BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BrinsonCF,4,1,1,1,0,0,1,.333,1.333
Flores2B-1B,4,0,1,0,0,0,0,.244,.754
"Davis, J3B",3,0,0,0,0,1,2,.240,.730
a-Wade Jr.PH-LF,1,0,0,0,0,0,0,.199,.688
LongoriaDH,4,0,1,0,0,1,0,.249,.797
EstradaLF-2B,4,1,1,0,0,1,1,.264,.730
"Crawford, BraSS",4,1,1,2,0,0,1,.228,.659
BartC,3,0,1,0,0,2,1,.228,.710
b-PedersonPH,1,0,0,0,0,0,0,.268,.866
Villar1B-3B,3,0,2,0,0,0,0,.200,.670
c-YastrzemskiPH,1,0,0,0,0,0,0,.208,.681
"Johnson, BRF",3,0,0,0,0,0,3,.067,.192
,35,3,8,3,0,5,9,,
