BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
FriedlCF,4,1,0,0,1,1,2,.272,.802
India2B,5,0,3,1,0,0,1,.266,.744
"Farmer, K3B",4,1,2,1,0,0,2,.265,.717
1-FairchildPR,0,0,0,0,0,0,0,.184,.688
Solano1B,0,0,0,0,1,0,0,.302,.757
FraleyLF,4,0,2,0,1,1,2,.250,.821
Steer1B,3,0,0,1,1,0,3,.211,.849
"Robinson, CC",0,0,0,0,0,0,0,.115,.346
AquinoRF,3,0,0,0,1,0,3,.196,.579
SenzelDH,3,1,0,0,1,1,2,.240,.616
BarreroSS,4,0,0,0,0,1,3,.148,.399
RomineC,2,0,1,0,0,0,0,.169,.465
"a-Lopez, APH-3B",2,1,1,1,0,0,0,.305,.733
,34,4,9,4,6,4,18,,
