BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Wade Jr.RF,1,0,0,0,1,0,1,.199,.687
b-BrinsonPH-CF,2,0,0,0,0,1,1,.263,1.052
Flores2B,4,0,0,0,0,0,2,.237,.734
Longoria3B,4,0,1,0,0,2,1,.244,.778
PedersonLF,3,1,1,1,1,1,1,.265,.867
EstradaSS,4,0,0,0,0,1,2,.260,.719
YastrzemskiCF-RF,4,1,2,0,0,1,0,.212,.689
Villar1B,3,0,0,0,1,3,1,.214,.755
La StellaDH,0,0,0,0,1,0,0,.237,.627
"a-Davis, JPH-DH",3,0,0,0,0,3,3,.242,.729
WynnsC,2,0,0,0,0,1,2,.221,.578
"c-Gonzalez, LPH",1,0,0,1,0,0,1,.252,.688
BartC,0,0,0,0,0,0,0,.225,.700
,31,2,4,2,4,13,15,,
