BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
GarlickRF,4,0,0,0,0,1,1,.242,.769
"López, JoP",0,0,0,0,0,0,0,.000,.000
ThielbarP,0,0,0,0,0,0,0,.000,.000
FulmerP,0,0,0,0,0,0,0,.000,.000
CorreaDH-SS,4,1,1,2,0,2,0,.271,.796
Miranda1B,4,0,1,0,0,0,0,.273,.771
Urshela3B,4,1,1,0,0,0,1,.262,.723
SanchezC,4,1,3,1,0,1,0,.219,.688
"1-Hamilton, CPR",0,0,0,0,0,0,0,.000,.000
LeonC,0,0,0,0,0,0,0,.158,.505
CelestinoCF,3,0,1,0,1,0,1,.248,.632
PalaciosSS-2B,4,0,0,0,0,1,4,.167,.379
Gordon2B-LF,4,0,1,1,0,1,1,.275,.743
HamiltonLF,1,0,0,0,0,0,0,.067,.192
a-CavePH-LF-RF,2,1,0,0,0,0,2,.219,.709
,34,4,8,4,1,6,10,,
