BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,4,0,1,0,1,1,0,.267,.777
LindorSS,5,0,0,0,0,2,3,.271,.788
McNeilRF-2B,5,1,3,1,0,0,0,.326,.829
Alonso1B,3,1,1,0,1,0,1,.269,.865
Escobar3B,4,0,2,0,0,1,3,.242,.727
VogelbachDH,2,1,2,2,0,0,0,.239,.800
"a-Álvarez, FPH-DH",2,0,0,0,0,1,2,.000,.000
CanhaLF,4,0,2,0,0,0,3,.263,.761
Guillorme2B,3,0,0,0,0,2,3,.272,.689
b-VientosPH,1,0,0,0,0,1,1,.133,.524
NaquinRF,0,0,0,0,0,0,0,.237,.728
McCannC,3,0,0,0,0,1,3,.187,.510
c-NidoPH-C,1,0,0,0,0,0,1,.239,.601
,37,3,11,3,2,9,20,,
