,Rk.,Player,Year,xBA,xSLG,xwOBA,xOBP,xISO,Avg EV (MPH),Avg LA (°),Barrel%
0,1,"Rodon,Carlos",2022,.198,.309,.254,.260,.111,89,19.4,6.5
1,2,"Verlander,Justin",2022,.207,.331,.255,.248,.124,87.8,16.9,6.3
2,3,"Ohtani,Shohei",2022,.204,.311,.256,.260,.107,87.1,14.5,6.3
3,4,"Cease,Dylan",2022,.184,.292,.257,.273,.109,86.8,15,6.2
4,5,"Nola,Aaron",2022,.211,.340,.259,.248,.129,87.7,12.5,7.1
5,6,"McClanahan,Shane",2022,.207,.332,.261,.257,.126,87.6,8.3,6.4
6,7,"Urias,Julio",2022,.205,.332,.262,.258,.128,86.7,17.2,6.7
7,8,"Fried,Max",2022,.227,.328,.264,.266,.101,86.2,7.6,4
8,9,"Alcantara,Sandy",2022,.215,.331,.267,.268,.116,87.8,5.5,5.3
9,10,"Burnes,Corbin",2022,.212,.337,.273,.275,.124,87.2,10,5.7
10,11,"Anderson,Tyler",2022,.225,.350,.275,.272,.124,85,16.9,4.9
11,12,"Gallen,Zac",2022,.213,.341,.278,.279,.127,87.8,10.8,7.8
12,13,"Musgrove,Joe",2022,.225,.351,.282,.284,.126,86.4,11.7,6
13,14,"Manoah,Alek",2022,.224,.343,.284,.290,.118,87.5,16.9,5.4
14,15,"Valdez,Framber",2022,.227,.330,.284,.301,.102,89.8,-3.6,5.8
15,16,"Cole,Gerrit",2022,.214,.383,.284,.266,.169,89.4,12.6,9.5
16,17,"Gausman,Kevin",2022,.242,.380,.285,.272,.138,89,12.2,8.1
17,18,"Bassitt,Chris",2022,.228,.359,.290,.291,.132,85.7,10.8,6.6
18,19,"Darvish,Yu",2022,.227,.388,.291,.275,.161,88.5,17,8.8
19,20,"Bieber,Shane",2022,.245,.386,.292,.281,.141,89.9,10,7.2
20,21,"McKenzie,Triston",2022,.222,.397,.293,.274,.175,90.2,19.7,9.8
21,22,"Webb,Logan",2022,.247,.364,.295,.301,.116,88.9,3.1,5.5
22,23,"Ray,Robbie",2022,.223,.373,.295,.292,.150,89.7,14.7,7.9
23,24,"Perez,Martin",2022,.242,.346,.295,.311,.105,88.2,8.1,4.3
24,25,"Kelly,Merrill",2022,.230,.383,.296,.291,.153,88.5,14,8.3
25,26,"Lopez,Pablo",2022,.239,.378,.301,.302,.138,87.9,11,9
26,27,"Quintana,Jose",2022,.257,.377,.305,.312,.120,86.5,9.9,5.5
27,28,"Wright,Kyle",2022,.244,.384,.306,.308,.139,89,4.4,6.8
28,29,"Mikolas,Miles",2022,.252,.400,.306,.294,.148,87.8,11,6.9
29,30,"Montgomery,Jordan",2022,.258,.400,.310,.303,.143,88.5,9.8,7.1
30,31,"Kluber,Corey",2022,.261,.416,.310,.294,.155,87.1,18.5,6.9
31,32,"Gilbert,Logan",2022,.253,.408,.314,.308,.155,91,14.6,7.1
32,33,"Morton,Charlie",2022,.228,.389,.314,.315,.161,89.3,13.6,9.5
33,34,"Taillon,Jameson",2022,.260,.432,.317,.297,.172,88.5,14.5,8.3
34,35,"Quantrill,Cal",2022,.258,.417,.321,.313,.159,87.6,13.8,7.5
35,36,"Irvin,Cole",2022,.258,.451,.324,.301,.192,89.4,15.5,9.6
36,37,"Gibson,Kyle",2022,.262,.420,.326,.320,.158,88.5,10.6,7.5
37,38,"Marquez,German",2022,.256,.423,.327,.321,.167,90.5,9.1,7.1
38,39,"Wainwright,Adam",2022,.270,.419,.328,.326,.148,87.8,11,6.5
39,40,"Urquidy,Jose",2022,.256,.451,.329,.306,.194,89.7,17.2,9.4
40,41,"Gonzales,Marco",2022,.267,.435,.330,.320,.169,86.7,14.5,7.2
41,42,"Pivetta,Nick",2022,.248,.433,.332,.324,.185,90.7,15.2,9
42,43,"Lyles,Jordan",2022,.267,.452,.341,.325,.184,88.6,15.3,10.4
43,44,"Berrios,Jose",2022,.275,.466,.346,.329,.191,90,13.9,9.5
44,45,"Freeland,Kyle",2022,.271,.455,.346,.337,.184,89.8,12.7,9.7
