Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,378",53.1,349,315,93,49,25,0,19,43,276,.295,.302,.556,.516,.387,.379,93.7,4,17.0,13.6
2022,Breaking,836,32.2,232,213,51,35,5,0,11,50,163,.239,.255,.418,.432,.315,.327,92.2,8,32.0,19.5
2022,Offspeed,382,14.7,119,110,31,24,5,0,2,23,87,.282,.248,.382,.366,.319,.299,91.3,-2,30.6,17.7
2021,Fastballs,"1,407",56.1,384,329,122,76,19,1,26,43,287,.371,.347,.672,.670,.473,.466,97.3,8,17.2,14.5
2021,Breaking,720,28.7,215,193,49,26,6,0,17,45,149,.254,.264,.549,.505,.367,.360,92.6,14,36.8,20.5
2021,Offspeed,382,15.2,92,82,17,8,4,0,5,22,60,.207,.246,.439,.469,.315,.345,91.0,6,44.2,20.8
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
