Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Iowa Cubs,Triple-A,First Inning,83,72,13,21,3,0,3,12,10,21,3,1,1,.292,.386,.458,.844
Iowa Cubs,Triple-A,Second Inning,24,18,4,3,0,0,1,1,5,4,0,0,1,.167,.375,.333,.708
Iowa Cubs,Triple-A,Third Inning,59,58,11,18,2,0,4,11,1,14,2,0,0,.310,.322,.552,.874
Iowa Cubs,Triple-A,Fourth Inning,43,35,11,9,2,1,1,3,8,9,0,1,0,.257,.395,.457,.852
Iowa Cubs,Triple-A,Fifth Inning,52,45,5,10,2,0,3,10,6,20,0,0,1,.222,.327,.467,.794
Iowa Cubs,Triple-A,Sixth Inning,53,38,8,7,3,0,2,8,14,13,1,0,1,.184,.415,.421,.836
Iowa Cubs,Triple-A,Seventh Inning,32,28,3,8,3,0,1,4,4,9,1,0,0,.286,.375,.500,.875
Iowa Cubs,Triple-A,Eighth Inning,50,37,7,6,3,0,1,3,12,12,0,0,0,.162,.360,.324,.684
Iowa Cubs,Triple-A,Ninth Inning,29,24,2,4,0,0,0,0,5,10,2,0,0,.167,.310,.167,.477
Iowa Cubs,Triple-A,Extra Innings,4,4,2,1,0,0,0,1,0,1,0,0,0,.250,.250,.250,.500
