Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2016,Aberdeen IronBirds,NYP,A(Short),LF,1,1,7.0,2,1,1,0,0,,1.000
2016,Aberdeen IronBirds,NYP,A(Short),CF,5,5,43.0,9,8,1,0,1,,1.000
2016,Aberdeen IronBirds,NYP,A(Short),RF,20,20,173.1,35,31,3,1,0,,.971
2016,Aberdeen IronBirds,NYP,A(Short),DH,11,11,0.0,0,0,0,0,0,,.000
2017,2 Teams,,Minors,RF,33,33,282.0,60,57,2,1,0,,.983
2017,2 Teams,,Minors,DH,6,6,0.0,0,0,0,0,0,,.000
2017,2 Teams,,Minors,CF,89,88,753.2,227,217,6,4,1,,.982
2017,Frederick Keys,CAR,A(Adv),CF,57,57,480.0,155,150,4,1,1,,.994
2017,Frederick Keys,CAR,A(Adv),RF,4,4,31.0,4,4,0,0,0,,1.000
2017,Frederick Keys,CAR,A(Adv),DH,2,2,0.0,0,0,0,0,0,,.000
2017,Bowie Baysox,EAS,AA,CF,32,31,273.2,72,67,2,3,0,,.958
2017,Bowie Baysox,EAS,AA,RF,29,29,251.0,56,53,2,1,0,,.982
2017,Bowie Baysox,EAS,AA,DH,4,4,0.0,0,0,0,0,0,,.000
2018,2 Teams,,Minors,RF,41,39,349.2,95,87,7,1,2,,.989
2018,2 Teams,,Minors,DH,9,9,0.0,0,0,0,0,0,,.000
2018,Aberdeen IronBirds,NYP,A(Short),RF,5,5,40.0,6,6,0,0,0,,1.000
2018,Aberdeen IronBirds,NYP,A(Short),DH,4,4,0.0,0,0,0,0,0,,.000
2018,Bowie Baysox,EAS,AA,LF,16,14,125.0,26,26,0,0,0,,1.000
2018,Bowie Baysox,EAS,AA,CF,13,11,99.0,35,35,0,0,0,,1.000
2018,Bowie Baysox,EAS,AA,RF,36,34,309.2,89,81,7,1,2,,.989
2018,Bowie Baysox,EAS,AA,DH,5,5,0.0,0,0,0,0,0,,.000
2019,3 Teams,,Minors,RF,24,23,197.0,44,42,2,0,0,,1.000
2019,4 Teams,,Minors,DH,11,11,0.0,0,0,0,0,0,,.000
2019,4 Teams,,Minors,CF,52,52,444.2,119,113,4,2,3,,.983
2019,Aberdeen IronBirds,NYP,A(Short),CF,2,2,15.0,3,3,0,0,0,,1.000
2019,Aberdeen IronBirds,NYP,A(Short),RF,1,1,13.0,4,4,0,0,0,,1.000
2019,Aberdeen IronBirds,NYP,A(Short),DH,2,2,0.0,0,0,0,0,0,,.000
2019,Frederick Keys,CAR,A(Adv),CF,7,7,59.0,12,12,0,0,0,,1.000
2019,Frederick Keys,CAR,A(Adv),DH,2,2,0.0,0,0,0,0,0,,.000
2019,Bowie Baysox,EAS,AA,CF,4,4,35.0,8,7,1,0,0,,1.000
2019,Bowie Baysox,EAS,AA,RF,7,7,61.0,20,20,0,0,0,,1.000
2019,Bowie Baysox,EAS,AA,DH,3,3,0.0,0,0,0,0,0,,.000
2019,Norfolk Tides,INT,AAA,LF,1,1,6.0,1,1,0,0,0,,1.000
2019,Norfolk Tides,INT,AAA,CF,39,39,335.2,96,91,3,2,3,,.979
2019,Norfolk Tides,INT,AAA,RF,16,15,123.0,20,18,2,0,0,,1.000
2019,Norfolk Tides,INT,AAA,DH,4,4,0.0,0,0,0,0,0,,.000
2021,Norfolk Tides,INT,AAA,LF,1,1,7.0,2,0,1,1,0,,.500
2021,Norfolk Tides,INT,AAA,RF,1,1,9.0,2,2,0,0,0,,1.000
,Norfolk Tides,INT,AAA,LF,2,2,13.0,3,1,1,1,0,,.667
,Norfolk Tides,INT,AAA,CF,39,39,335.2,96,91,3,2,3,,.979
,Norfolk Tides,INT,AAA,RF,17,16,132.0,22,20,2,0,0,,1.000
,Norfolk Tides,INT,AAA,DH,4,4,0.0,0,0,0,0,0,,.000
,Bowie Baysox,EAS,AA,LF,16,14,125.0,26,26,0,0,0,,1.000
,Bowie Baysox,EAS,AA,CF,49,46,407.2,115,109,3,3,0,,.974
,Bowie Baysox,EAS,AA,RF,72,70,621.2,165,154,9,2,2,,.988
,Bowie Baysox,EAS,AA,DH,12,12,0.0,0,0,0,0,0,,.000
,Frederick Keys,,A+,CF,64,64,539.0,167,162,4,1,1,,.994
,Frederick Keys,,A+,RF,4,4,31.0,4,4,0,0,0,,1.000
,Frederick Keys,,A+,DH,4,4,0.0,0,0,0,0,0,,.000
,Aberdeen IronBirds,SAL,A(Short),LF,1,1,7.0,2,1,1,0,0,,1.000
,Aberdeen IronBirds,SAL,A(Short),CF,7,7,58.0,12,11,1,0,1,,1.000
,Aberdeen IronBirds,SAL,A(Short),RF,26,26,226.1,45,41,3,1,0,,.978
,Aberdeen IronBirds,SAL,A(Short),DH,17,17,0.0,0,0,0,0,0,,.000
,3 Teams,,Minors,LF,19,17,145.0,31,28,2,1,0,,.968
,4 Teams,,Minors,CF,159,156,1340.1,390,373,11,6,5,,.985
,4 Teams,,Minors,RF,119,116,1011.0,236,219,14,3,2,,.987
Career Minors,4 Teams,,,DH,37,37,0.0,0,0,0,0,0,,.000
