Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,107",54.0,322,289,71,48,16,2,5,45,247,.246,.249,.367,.374,.301,.311,88.3,11,14.8,16.5
2022,Breaking,731,35.6,203,193,48,25,16,0,7,51,142,.249,.224,.440,.344,.314,.268,85.2,12,34.6,24.1
2022,Offspeed,213,10.4,57,53,15,8,3,0,4,18,35,.283,.249,.566,.466,.385,.334,90.9,14,30.0,25.0
2021,Fastballs,"1,036",52.9,300,273,79,51,11,3,14,39,238,.289,.287,.505,.519,.361,.369,90.3,14,14.3,15.9
2021,Breaking,655,33.5,154,145,27,13,9,1,4,56,89,.186,.178,.345,.293,.250,.231,85.4,13,41.2,29.0
2021,Offspeed,266,13.6,75,70,19,9,6,0,4,12,58,.271,.222,.529,.380,.358,.285,85.4,3,28.3,11.8
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
