Season,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Barrel %,Barrel/PA
2015,59.0,13.3,25.3,2.5,30.2,40.4,29.3,5.6,41.4,15.1,26.5,3.4,1.2,0.9
2016,58.4,12.1,25.8,3.7,35.4,34.5,30.1,4.3,42.7,15.5,28.5,1.4,1.8,1.3
2017,54.9,15.4,27.0,2.7,30.9,42.9,26.2,6.4,40.9,15.4,26.0,5.4,2.9,2.1
2018,49.1,23.1,22.5,5.3,35.2,38.3,26.2,3.5,34.4,23.6,27.1,2.9,4.2,2.7
2019,49.8,17.6,24.4,8.1,34.5,35.9,29.7,1.6,42.6,23.8,26.0,2.7,2.7,2.1
2020,50.8,14.1,32.8,2.3,37.9,35.0,27.1,7.3,36.7,16.9,28.2,6.8,4.0,2.7
2021,47.3,25.1,23.7,3.9,35.2,41.1,23.7,5.7,36.3,23.3,22.1,5.0,6.8,4.7
2022,48.6,19.3,26.4,5.8,32.8,35.5,31.7,8.0,33.5,23.9,26.6,4.9,2.4,1.8
Player,52.0,18.0,25.4,4.6,33.9,38.0,28.1,5.0,38.6,20.3,26.2,3.8,3.3,2.3
MLB,44.9,23.1,25.0,7.1,36.8,37.7,25.4,3.8,33.0,24.6,24.4,5.7,6.7,4.6
