Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %
2015,"1,628",48.9,68.0,86.9,26.9,50.9,42.9,36.5,47.0,21.6,6.9,80.4
2016,"2,427",48.9,67.8,84.8,23.6,58.6,44.3,33.4,45.2,19.8,8.0,81.5
2017,"2,316",50.3,61.5,83.9,20.4,57.9,44.0,21.5,41.1,20.6,7.5,71.3
2018,"3,009",49.9,58.7,85.0,17.9,56.7,43.2,20.6,38.2,20.1,7.9,65.7
2019,"2,600",49.6,64.5,88.5,27.7,66.9,43.4,28.7,46.0,17.1,7.9,71.2
2020,"1,076",49.2,65.0,87.5,22.9,51.2,41.2,28.7,43.6,19.6,8.3,78.7
2021,"2,457",49.8,68.3,83.0,26.1,59.2,43.5,34.4,47.1,22.0,7.1,79.9
2022,"2,368",50.5,68.7,84.9,25.9,58.1,45.0,38.4,47.5,20.4,7.1,78.4
Player,"17,881",49.7,65.0,85.4,23.7,58.5,43.6,30.1,44.2,20.1,7.6,75.0
MLB,,48.5,66.9,82.0,28.4,58.3,42.6,29.5,47.1,24.7,7.2,76.1
