Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,Slider,,-1.7,-10,581,27.9,143,.178,.237,.229,43.6,46.2,34.0,.163,.256,.210,39.1
2022,4-Seamer,,3.6,20,551,26.5,131,.345,.733,.486,27.3,23.7,20.8,.332,.748,.486,68.2
2022,Sinker,,-0.6,-2,380,18.3,108,.300,.450,.360,23.1,13.9,19.7,.319,.492,.375,57.6
2022,Cutter,,2.2,4,202,9.7,50,.255,.596,.392,38.8,18.0,18.8,.250,.549,.360,39.5
2022,Changeup,,3.5,6,181,8.7,58,.293,.603,.408,43.8,25.9,26.8,.296,.574,.371,55.8
2022,Curveball,,-1.2,-2,157,7.5,33,.242,.455,.294,38.7,30.3,23.8,.244,.437,.291,43.5
2022,Splitter,,0.6,0,30,1.4,11,.200,.500,.327,57.1,54.5,46.2,.255,.590,.390,50.0
2021,4-Seamer,,1.6,12,745,32.5,174,.308,.623,.426,25.8,23.0,18.4,.304,.658,.427,53.8
2021,Slider,,2.4,13,562,24.5,137,.305,.557,.388,41.6,31.4,20.8,.274,.533,.355,47.7
2021,Sinker,,-0.4,-1,344,15.0,97,.276,.356,.343,22.9,16.5,26.2,.289,.426,.348,49.3
2021,Changeup,,2.1,5,217,9.5,68,.254,.381,.354,38.2,29.4,26.7,.233,.368,.283,31.8
2021,Curveball,,1.2,2,204,8.9,58,.236,.364,.301,31.5,27.6,19.3,.202,.346,.246,35.0
2021,Cutter,,3.7,7,192,8.4,52,.404,.830,.546,34.3,21.2,21.2,.396,.799,.519,66.7
2021,Splitter,,11.0,2,17,0.7,4,.250,.250,.450,55.6,50.0,40.0,.301,.366,.289,100.0
2021,N/A,,-8.7,-1,9,0.4,4,.250,.250,.225,16.7,0.0,--,.343,.583,.402,75.0
2020,4-Seamer,,2.1,5,240,28.6,49,.356,.867,.541,28.1,24.5,16.7,.333,.857,.505,78.8
2020,Slider,,-3.3,-5,154,18.3,37,.114,.143,.169,51.6,51.4,32.2,.188,.225,.208,43.8
2020,Sinker,,6.4,9,134,16.0,36,.500,.906,.610,16.4,13.9,17.2,.460,.947,.598,51.9
2020,Curveball,,-2.2,-2,104,12.4,25,.136,.318,.222,47.6,36.0,23.1,.168,.344,.245,28.6
2020,Changeup,,2.4,2,103,12.3,30,.310,.586,.390,35.3,33.3,25.6,.273,.551,.356,36.8
2020,Cutter,,-0.6,-1,85,10.1,23,.286,.571,.409,39.0,21.7,20.8,.334,.715,.459,50.0
2020,Splitter,,-4.1,-1,20,2.4,7,.167,.167,.229,50.0,42.9,33.3,.214,.241,.275,66.7
2019,4-Seamer,,0.2,1,713,37.1,154,.237,.570,.386,37.7,40.3,28.8,.219,.553,.358,57.5
2019,Slider,,-0.7,-3,461,24.0,121,.162,.333,.262,39.3,38.0,27.9,.165,.316,.246,35.4
2019,Sinker,,0.3,1,293,15.2,71,.311,.426,.375,15.6,7.0,8.1,.296,.463,.375,41.1
2019,Changeup,,0.3,0,175,9.1,47,.227,.409,.301,42.2,36.2,36.2,.206,.333,.249,32.1
2019,Curveball,,1.9,3,154,8.0,42,.231,.615,.374,35.7,28.6,20.3,.193,.500,.310,25.9
2019,Cutter,,0.7,1,107,5.6,23,.318,.636,.415,36.7,39.1,30.0,.285,.609,.380,53.8
2019,Splitter,,-1.9,0,19,1.0,5,.200,.200,.180,30.0,40.0,25.0,.134,.156,.126,33.3
2018,4-Seamer,,-0.5,-4,757,35.9,191,.202,.452,.334,38.0,28.3,22.8,.220,.526,.356,49.6
2018,Slider,,-1.0,-5,464,22.0,105,.222,.414,.287,49.8,44.8,30.7,.200,.396,.272,35.8
2018,Sinker,,0.6,2,341,16.2,92,.317,.573,.413,24.2,19.6,24.0,.293,.580,.404,42.2
2018,Curveball,,2.6,6,221,10.5,47,.295,.568,.385,45.1,46.8,24.7,.226,.478,.321,59.1
2018,Changeup,,-1.2,-2,183,8.7,44,.175,.275,.244,48.4,29.5,19.4,.214,.357,.293,46.4
2018,Cutter,,-0.2,0,115,5.5,35,.265,.500,.334,12.7,11.4,16.0,.292,.678,.415,43.3
2018,Splitter,,1.8,0,26,1.2,8,.250,.500,.313,66.7,62.5,38.5,.207,.267,.208,66.7
2018,Knuckleball,,11.3,0,2,0.1,1,1.000,2.000,1.250,0.0,0.0,--,.780,1.323,.882,100.0
2017,4-Seamer,,4.2,6,145,33.8,36,.344,.813,.485,32.4,25.0,18.0,.299,.746,.456,54.2
2017,Sinker,,1.1,1,89,20.7,15,.333,.733,.447,27.9,26.7,16.0,.338,.629,.403,9.1
2017,Slider,,-2.2,-2,81,18.9,19,.105,.211,.132,43.2,57.9,33.3,.123,.179,.128,25.0
2017,Curveball,,-0.4,0,34,7.9,8,.167,.167,.288,33.3,50.0,22.2,.061,.070,.218,0.0
2017,Cutter,,-3.5,-1,25,5.8,5,.000,.000,.140,57.1,80.0,40.0,--,--,.140,--
2017,Changeup,,2.6,1,25,5.8,6,.167,.667,.483,42.9,33.3,50.0,.215,.600,.334,25.0
2017,Splitter,,7.8,1,17,4.0,3,.667,2.000,1.083,18.2,33.3,14.3,.307,1.235,.618,50.0
