Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2010,2 Teams,,Minors,P,12,3,37.2,10,0,8,2,0,,.800
2010,Hudson Valley Renegades,NYP,A(Short),P,7,1,21.1,4,0,3,1,0,,.750
2010,Bowling Green Hot Rods,MID,A(Full),P,5,2,16.1,6,0,5,1,0,,.833
2011,Charlotte Stone Crabs,FSL,A(Adv),P,25,23,129.0,29,11,17,1,3,,.966
2012,Montgomery Biscuits,SOU,AA,P,32,9,88.1,18,6,11,1,0,,.944
2013,2 Teams,,Minors,P,28,26,158.1,32,10,19,3,2,,.906
2013,Montgomery Biscuits,SOU,AA,P,13,12,73.2,15,5,8,2,0,,.867
2013,Durham Bulls,INT,AAA,P,15,14,84.2,17,5,11,1,2,,.941
2014,Durham Bulls,INT,AAA,P,28,15,114.0,30,10,18,2,2,,.933
2021,ACL D-backs,AZL,ROK,P,1,1,4.0,1,1,0,0,0,,1.000
,ACL D-backs Black,AZL,ROK,P,1,1,4.0,1,1,0,0,0,,1.000
,Durham Bulls,INT,AAA,P,43,29,198.2,47,15,29,3,4,,.936
,Montgomery Biscuits,SOU,AA,P,45,21,162.0,33,11,19,3,0,,.909
,Charlotte Stone Crabs,FSL,A+,P,25,23,129.0,29,11,17,1,3,,.966
,Bowling Green Hot Rods,SAL,A,P,5,2,16.1,6,0,5,1,0,,.833
,Hudson Valley Renegades,SAL,A(Short),P,7,1,21.1,4,0,3,1,0,,.750
Career Minors,6 Teams,,,P,126,77,531.1,120,38,73,9,7,,.925
