Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,-0.2,-1,653,33.7,158,.286,.379,.340,8.2,13.3,12.1,.258,.335,.304,35.0
2022,Slider,,-0.4,-2,427,22.0,116,.230,.283,.250,18.1,19.8,16.7,.235,.302,.239,26.1
2022,Sinker,,-1.8,-7,380,19.6,122,.222,.241,.271,4.9,8.2,14.7,.253,.291,.286,24.0
2022,Changeup,,-0.6,-1,178,9.2,48,.200,.267,.226,13.4,16.7,12.5,.286,.367,.302,34.2
2022,Curveball,,1.0,2,156,8.0,44,.316,.368,.325,18.5,13.6,10.7,.293,.364,.317,38.2
2022,Cutter,,3.0,3,112,5.8,33,.344,.438,.355,11.3,6.1,8.7,.308,.446,.339,30.0
2022,Splitter,,4.4,1,24,1.2,5,.400,1.000,.580,12.5,40.0,12.5,.249,.422,.293,33.3
2022,N/A,,22.6,2,10,0.5,3,1.000,1.000,.833,0.0,0.0,--,.750,.832,.696,0.0
2021,4-Seamer,,0.0,0,877,36.6,232,.321,.419,.356,9.6,12.1,13.3,.292,.394,.322,33.3
2021,Slider,,-0.3,-1,497,20.7,144,.224,.254,.266,21.3,14.6,13.5,.224,.260,.245,21.1
2021,Sinker,,-0.8,-3,394,16.4,102,.280,.355,.331,11.8,14.7,21.1,.260,.322,.301,33.3
2021,Changeup,,-0.7,-2,237,9.9,74,.208,.319,.264,12.4,6.8,6.9,.286,.384,.302,25.4
2021,Curveball,,0.2,0,201,8.4,51,.235,.294,.232,25.3,21.6,18.3,.205,.260,.203,20.0
2021,Cutter,,-0.3,0,162,6.8,62,.300,.500,.382,11.2,8.1,16.7,.335,.483,.362,30.9
2021,Splitter,,-3.6,-1,27,1.1,9,.111,.111,.100,42.1,55.6,31.3,.144,.219,.156,75.0
2021,N/A,,13.9,0,1,0.0,1,1.000,1.000,.900,0.0,0.0,--,.483,.517,.435,0.0
2020,4-Seamer,,-0.2,0,284,35.5,73,.328,.426,.382,10.2,13.7,15.2,.326,.451,.391,44.2
2020,Slider,,-0.8,-1,162,20.3,42,.238,.286,.252,27.4,16.7,13.2,.228,.276,.223,22.9
2020,Sinker,,1.1,2,137,17.1,51,.340,.362,.379,10.8,3.9,8.3,.262,.308,.289,24.4
2020,Curveball,,-2.6,-2,87,10.9,23,.174,.348,.259,17.9,26.1,19.4,.142,.184,.142,29.4
2020,Changeup,,0.6,1,84,10.5,24,.261,.478,.367,17.8,16.7,12.1,.298,.390,.318,42.1
2020,Cutter,,-2.3,-1,40,5.0,15,.200,.267,.263,19.2,20.0,37.5,.201,.328,.226,8.3
2020,Splitter,,-0.7,0,5,0.6,,--,--,--,0.0,--,0.0,--,--,--,--
2019,4-Seamer,,-1.2,-4,309,36.4,75,.288,.394,.331,10.8,18.7,18.2,.256,.355,.301,29.6
2019,Sinker,,-6.4,-10,160,18.9,46,.077,.103,.173,13.2,19.6,31.0,.173,.241,.258,30.0
2019,Slider,,0.4,1,151,17.8,39,.342,.421,.345,25.0,25.6,20.0,.203,.281,.223,50.0
2019,Curveball,,-2.5,-3,108,12.7,22,.143,.143,.155,21.1,27.3,18.8,.221,.258,.232,26.7
2019,Changeup,,1.1,1,90,10.6,29,.250,.393,.290,38.8,31.0,27.3,.178,.230,.195,21.1
2019,Cutter,,-1.5,0,28,3.3,10,.222,.444,.320,13.3,10.0,11.1,.299,.518,.378,62.5
2019,Splitter,,19.1,0,2,0.2,1,1.000,1.000,.900,0.0,0.0,0.0,.887,1.072,.846,0.0
2018,4-Seamer,,-0.1,0,534,35.6,115,.295,.432,.387,6.1,8.7,8.9,.282,.364,.350,26.4
2018,Sinker,,-0.6,-2,327,21.8,101,.273,.330,.310,8.4,11.9,20.7,.260,.319,.300,24.1
2018,Slider,,-1.2,-3,257,17.1,76,.257,.378,.286,27.3,26.3,20.8,.233,.280,.237,20.4
2018,Changeup,,-0.1,0,127,8.5,34,.235,.294,.232,17.5,14.7,11.6,.279,.330,.268,24.1
2018,Curveball,,-0.3,0,126,8.4,34,.219,.313,.265,37.3,32.4,21.6,.197,.250,.204,18.2
2018,Cutter,,-1.8,-2,119,7.9,31,.207,.276,.242,7.4,9.7,10.0,.256,.300,.274,26.9
2018,Splitter,,3.7,0,7,0.5,4,.250,.250,.225,40.0,25.0,33.3,.278,.282,.250,0.0
