Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,1.5,11,711,32.3,163,.304,.472,.424,11.9,11.0,9.0,.298,.528,.427,60.6
2022,Slider,,0.5,2,505,23.0,113,.238,.386,.308,23.4,15.9,11.1,.267,.428,.340,41.7
2022,Sinker,,0.1,1,412,18.7,116,.346,.430,.393,7.5,3.4,4.8,.299,.425,.344,40.8
2022,Changeup,,0.8,1,195,8.9,56,.255,.364,.308,26.2,17.9,12.7,.262,.348,.273,44.4
2022,Curveball,,0.5,1,187,8.5,42,.184,.289,.256,18.6,14.3,9.8,.216,.306,.255,33.3
2022,Cutter,,1.8,3,162,7.4,36,.355,.516,.422,8.7,2.8,2.8,.297,.439,.370,40.0
2022,Splitter,,0.4,0,28,1.3,13,.231,.308,.235,20.0,7.7,7.1,.218,.275,.218,25.0
2021,4-Seamer,,-1.2,-3,262,35.0,62,.189,.321,.316,18.6,14.5,13.2,.218,.455,.341,40.9
2021,Slider,,0.3,1,172,23.0,42,.256,.436,.346,32.9,19.0,13.6,.256,.395,.309,45.2
2021,Sinker,,1.3,2,115,15.4,30,.280,.520,.377,3.7,6.7,7.1,.345,.663,.449,45.8
2021,Changeup,,-2.5,-2,75,10.0,21,.158,.211,.212,26.5,9.5,8.3,.351,.440,.379,64.7
2021,Curveball,,7.2,5,73,9.8,20,.421,.842,.540,10.0,0.0,0.0,.454,.819,.547,52.6
2021,Cutter,,-0.6,0,48,6.4,13,.200,.500,.385,11.1,7.7,14.3,.135,.353,.317,44.4
2021,Splitter,,-2.9,0,2,0.3,,--,--,--,50.0,--,0.0,--,--,--,--
2021,N/A,,-20.0,0,1,0.1,1,--,--,.000,0.0,0.0,--,--,--,.003,0.0
2020,4-Seamer,,2.6,1,30,35.3,6,.400,1.000,.600,9.1,0.0,0.0,.404,.911,.574,40.0
2020,Sinker,,5.2,1,18,21.2,6,.500,.667,.508,0.0,0.0,0.0,.340,.394,.322,50.0
2020,Slider,,5.9,1,18,21.2,4,.250,.500,.313,33.3,25.0,50.0,.295,.314,.272,66.7
2020,Curveball,,1.5,0,11,12.9,4,.500,.500,.450,37.5,25.0,33.3,.303,.375,.292,33.3
2020,Changeup,,-6.0,0,6,7.1,3,.000,.000,.000,33.3,33.3,50.0,.147,.162,.133,50.0
2020,Splitter,,21.7,0,2,2.4,2,.500,.500,.450,50.0,50.0,100.0,.306,.338,.280,100.0
