Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,0.7,6,816,37.9,182,.268,.406,.390,14.3,15.4,12.1,.310,.503,.429,56.3
2022,Sinker,,-0.4,-2,461,21.4,116,.225,.255,.295,8.1,6.0,7.6,.261,.310,.305,36.8
2022,Slider,,0.2,1,389,18.1,114,.262,.364,.308,23.8,17.5,14.8,.263,.391,.304,33.0
2022,Changeup,,2.8,5,173,8.0,54,.224,.388,.352,15.4,11.1,8.0,.223,.334,.281,27.9
2022,Curveball,,0.1,0,141,6.6,37,.314,.429,.343,17.0,16.2,15.0,.263,.363,.293,32.1
2022,Cutter,,4.9,6,121,5.6,23,.429,.810,.539,14.0,4.3,3.2,.270,.473,.353,45.0
2022,Splitter,,-6.0,-2,34,1.6,9,.111,.111,.100,26.3,22.2,12.5,.323,.420,.323,42.9
2022,N/A,,1.1,0,12,0.6,4,.500,.750,.538,0.0,0.0,0.0,.321,.563,.364,75.0
2022,Knuckleball,,2.4,0,2,0.1,,--,--,--,--,--,0.0,--,--,--,--
2021,4-Seamer,,0.2,2,995,37.4,202,.291,.395,.353,14.4,19.8,16.6,.295,.421,.368,55.6
2021,Sinker,,-0.6,-3,527,19.8,127,.221,.269,.311,11.5,9.4,10.1,.257,.310,.330,43.5
2021,Slider,,0.2,1,519,19.5,172,.272,.377,.313,19.8,14.5,13.8,.274,.423,.321,37.2
2021,Changeup,,-3.0,-6,205,7.7,68,.145,.194,.186,10.0,5.9,6.6,.270,.376,.306,37.3
2021,Cutter,,1.4,3,196,7.4,48,.375,.500,.421,2.5,8.3,9.8,.303,.436,.373,43.2
2021,Curveball,,2.8,4,155,5.8,47,.348,.457,.360,17.6,10.6,9.3,.339,.416,.338,31.7
2021,Splitter,,5.2,2,36,1.4,8,.250,.625,.363,27.8,37.5,13.6,.279,.429,.304,60.0
2020,4-Seamer,,2.0,6,308,37.2,63,.429,.714,.513,10.1,15.9,12.0,.404,.576,.452,69.6
2020,Sinker,,1.3,2,184,22.2,48,.325,.575,.450,8.8,6.3,7.0,.253,.352,.330,42.1
2020,Slider,,-0.7,-1,135,16.3,41,.256,.308,.278,13.8,9.8,9.3,.278,.389,.307,31.4
2020,Curveball,,6.9,4,64,7.7,26,.440,.760,.538,11.8,7.7,8.0,.307,.560,.379,43.5
2020,Changeup,,0.9,1,58,7.0,16,.333,.667,.438,7.1,0.0,0.0,.321,.541,.384,46.7
2020,Cutter,,-0.8,0,56,6.8,16,.400,.400,.381,14.3,6.3,7.1,.276,.318,.291,28.6
2020,Splitter,,3.6,1,24,2.9,6,.400,1.000,.600,25.0,16.7,8.3,.120,.240,.240,0.0
2019,4-Seamer,,1.2,12,988,40.1,204,.356,.550,.423,14.2,13.7,11.9,.328,.546,.399,58.1
2019,Sinker,,-1.0,-4,428,17.4,114,.228,.297,.301,7.1,11.4,16.0,.286,.416,.345,44.9
2019,Slider,,2.1,9,416,16.9,139,.275,.489,.341,26.7,20.1,18.9,.281,.517,.349,42.3
2019,Changeup,,7.0,14,198,8.0,69,.400,.723,.516,19.2,7.2,9.8,.360,.570,.412,46.7
2019,Curveball,,2.3,4,185,7.5,68,.343,.493,.395,13.9,13.2,18.0,.338,.569,.383,50.0
2019,Cutter,,3.6,6,158,6.4,37,.441,.676,.499,14.8,10.8,10.8,.345,.570,.408,43.3
2019,Splitter,,2.2,1,39,1.6,12,.250,.500,.392,8.7,8.3,4.8,.266,.517,.330,18.2
2018,4-Seamer,,0.5,5,918,41.9,214,.273,.476,.373,10.6,15.4,14.3,.302,.495,.383,54.5
2018,Sinker,,0.1,0,445,20.3,123,.328,.466,.362,5.7,7.3,10.3,.291,.421,.330,46.3
2018,Slider,,-1.1,-4,333,15.2,95,.217,.304,.231,26.1,20.0,18.6,.238,.327,.244,30.3
2018,Curveball,,1.3,3,201,9.2,50,.261,.435,.316,21.1,18.0,16.7,.214,.352,.272,28.9
2018,Changeup,,1.4,2,139,6.3,52,.250,.396,.316,14.5,7.7,11.1,.261,.392,.319,31.1
2018,Cutter,,1.5,2,129,5.9,39,.333,.417,.386,19.0,17.9,19.4,.322,.424,.336,46.7
2018,Splitter,,6.1,1,17,0.8,6,.167,.333,.358,10.0,16.7,16.7,.133,.218,.149,20.0
2017,4-Seamer,,0.2,2,"1,193",44.6,253,.309,.452,.381,13.0,15.8,12.8,.287,.398,.346,51.1
2017,Sinker,,-0.6,-3,585,21.9,149,.258,.281,.312,7.1,8.7,11.4,.298,.352,.337,35.0
2017,Slider,,2.0,8,387,14.5,112,.356,.413,.356,16.8,10.7,9.1,.322,.428,.338,33.0
2017,Curveball,,1.3,3,199,7.4,73,.314,.457,.340,16.3,16.4,16.9,.326,.464,.353,40.7
2017,Cutter,,0.5,1,158,5.9,45,.349,.442,.362,8.8,13.3,14.0,.328,.431,.342,35.1
2017,Changeup,,3.1,4,136,5.1,44,.357,.500,.407,10.7,9.1,7.8,.325,.439,.345,42.1
2017,Splitter,,-8.8,-1,16,0.6,5,.000,.000,.000,44.4,60.0,30.0,.105,.116,.103,50.0
