Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2016,,2B,5,,4,1,0,0,4,1,526,77%,76%,1%
2017,,2B,20,,4,8,7,1,6,14,584,80%,76%,3%
2018,,2B,15,,4,7,3,0,5,10,474,83%,80%,3%
2019,,ALL,9,,3,-1,7,0,8,0,435,78%,76%,2%
2019,,3B,5,,0,1,4,0,4,1,129,73%,69%,4%
2019,,2B,3,,2,-2,3,-1,4,-1,228,82%,81%,1%
2019,,1B,1,,1,0,0,0,0,1,78,77%,76%,1%
2020,,ALL,-3,,-1,-2,0,0,-4,1,177,72%,73%,-2%
2020,,3B,0,,-1,0,0,0,0,-1,32,69%,70%,-1%
2020,,2B,-3,,0,-2,-1,0,-5,2,143,73%,75%,-2%
2020,,1B,0,,0,0,0,0,0,0,2,50%,48%,2%
2021,,ALL,0,,-4,3,3,-2,-1,1,419,74%,73%,0%
2021,,3B,-1,,-2,2,0,-1,0,-1,106,72%,72%,-1%
2021,,2B,0,,-1,0,3,-1,-1,1,239,73%,73%,0%
2021,,1B,1,,-1,1,1,0,0,1,74,78%,77%,1%
2022,,ALL,9,,1,3,4,1,3,6,352,76%,74%,3%
2022,,3B,4,,1,2,1,0,2,3,155,77%,74%,3%
2022,,2B,2,,-1,0,2,1,1,2,120,73%,71%,2%
2022,,1B,2,,1,0,1,0,1,1,77,81%,78%,3%
Career,,ALL,55,,11,20,23,1,22,34,2967,78%,76%,2%
