Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
New York Mets,MLB,First Inning,162,139,18,34,3,0,7,17,18,35,5,1,3,.245,.340,.417,.757
New York Mets,MLB,Second Inning,18,15,1,5,2,0,0,8,3,5,0,0,0,.333,.444,.467,.911
New York Mets,MLB,Third Inning,98,86,18,25,3,0,4,18,10,16,2,0,1,.291,.367,.465,.832
New York Mets,MLB,Fourth Inning,69,64,12,20,5,0,1,6,4,12,1,0,1,.313,.362,.438,.800
New York Mets,MLB,Fifth Inning,81,72,10,19,3,2,3,12,6,9,3,1,2,.264,.333,.486,.819
New York Mets,MLB,Sixth Inning,82,77,13,28,5,2,4,21,3,15,2,1,1,.364,.390,.636,1.026
New York Mets,MLB,Seventh Inning,74,65,9,13,1,0,2,13,7,14,2,1,0,.200,.270,.308,.578
New York Mets,MLB,Eighth Inning,72,64,9,15,2,1,3,8,6,13,0,1,2,.234,.319,.438,.757
New York Mets,MLB,Ninth Inning,44,43,5,8,1,0,2,3,1,12,1,0,0,.186,.205,.349,.554
New York Mets,MLB,Extra Innings,6,5,3,3,0,0,0,1,1,2,0,1,0,.600,.667,.600,1.267
