Season,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Barrel %,Barrel/PA
2015,55.6,14.4,23.3,6.7,34.4,41.7,23.9,5.6,45.0,18.9,23.9,2.8,1.7,1.2
2016,54.4,14.1,24.3,7.2,37.6,40.6,21.3,6.4,44.8,18.8,24.3,3.0,0.3,0.2
2017,46.3,19.1,29.8,4.8,29.3,45.7,25.0,8.0,31.9,22.3,29.3,5.9,2.7,2.0
2018,52.0,19.4,22.7,5.9,36.0,39.9,23.9,3.4,41.4,20.5,23.6,5.4,5.0,3.8
2019,43.7,23.7,26.4,6.2,40.2,38.1,21.6,2.3,33.4,23.7,25.4,5.8,9.3,7.2
2020,46.6,20.2,24.5,8.6,36.2,40.5,23.3,3.1,38.0,24.5,22.7,6.1,3.7,3.1
2021,46.3,19.9,26.3,7.5,37.0,36.3,26.7,4.6,32.4,18.5,28.5,7.1,8.9,6.7
2022,43.2,25.3,24.5,7.1,42.7,35.6,21.7,3.0,29.5,27.3,28.0,5.8,6.1,4.3
Player,48.2,20.1,25.1,6.6,37.6,39.2,23.1,4.2,36.8,22.0,25.7,5.3,5.2,4.0
MLB,44.9,23.1,25.0,7.1,36.8,37.7,25.4,3.8,33.0,24.6,24.4,5.7,6.7,4.6
