Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2016,,ALL,-2,,0,-2,1,-2,-3,0,226,85%,86%,-1%
2016,,CF,1,,0,1,0,-1,0,1,32,88%,86%,2%
2016,,LF,-3,,0,-3,1,-1,-3,0,194,84%,86%,-1%
2017,,ALL,1,,1,-1,1,0,1,0,169,88%,88%,1%
2017,,CF,0,,1,0,1,-1,0,0,64,87%,87%,0%
2017,,LF,1,,0,-1,0,1,1,0,105,89%,88%,1%
2018,,CF,8,,1,1,6,-1,4,4,373,90%,88%,2%
2019,,CF,2,,-1,3,1,-1,1,1,335,87%,87%,1%
2020,,ALL,2,,0,1,0,1,3,-1,140,90%,88%,2%
2020,,ALL,2,,0,0,1,1,2,0,61,90%,87%,3%
2020,,ALL,0,,0,1,-1,0,2,-1,79,90%,89%,0%
2020,,CF,2,,0,1,0,1,3,-1,139,90%,88%,2%
2020,,CF,2,,0,0,1,1,2,0,61,90%,87%,3%
2020,,CF,0,,0,1,-1,0,2,-1,78,90%,89%,0%
2020,,LF,0,,0,0,0,0,0,0,1,100%,99%,1%
2020,,LF,0,,0,0,0,0,0,0,1,100%,99%,1%
2021,,ALL,1,,-2,3,2,-1,1,0,321,87%,87%,0%
2021,,ALL,4,,0,3,1,0,3,1,149,89%,87%,2%
2021,,ALL,-3,,-3,0,1,-1,-2,-1,172,85%,87%,-2%
2021,,CF,1,,-2,3,2,-1,1,0,321,87%,87%,0%
2021,,CF,4,,0,3,1,0,3,1,149,89%,87%,2%
2021,,CF,-3,,-3,0,1,-1,-2,-1,172,85%,87%,-2%
2022,,RF,-2,,1,-1,-2,0,0,-1,250,87%,87%,-1%
Career,,ALL,10,,0,5,8,-3,8,3,1814,88%,87%,1%
