Season,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Barrel %,Barrel/PA
2015,34.2,32.1,29.5,4.3,38.7,36.6,24.7,3.8,23.8,23.3,22.3,7.8,17.3,11.1
2016,43.0,25.2,27.9,3.9,38.6,36.2,25.2,2.1,28.5,19.9,25.8,8.9,14.2,9.3
2017,38.0,31.8,24.0,6.2,32.8,37.7,29.5,4.2,24.7,23.1,22.1,5.8,19.5,12.3
2018,44.4,25.6,27.9,2.1,36.0,33.0,30.9,1.6,32.6,15.8,24.9,8.8,16.0,10.6
2019,43.0,25.6,28.5,2.9,38.2,35.3,26.5,2.3,27.8,19.7,29.2,7.5,11.8,7.9
2020,35.1,35.1,27.3,2.6,35.1,40.9,24.0,1.9,28.6,31.8,18.2,7.8,11.0,7.2
2021,34.1,31.5,28.9,5.4,33.4,36.0,30.6,2.6,24.5,25.4,24.2,10.8,12.5,8.4
2022,38.2,30.8,26.7,4.3,31.6,38.9,29.5,3.6,27.5,24.2,23.2,8.9,12.5,8.2
Player,39.0,29.2,27.8,4.0,35.7,36.4,27.9,2.8,27.2,22.1,24.3,8.4,14.5,9.5
MLB,44.9,23.1,25.0,7.1,36.8,37.7,25.4,3.8,33.0,24.6,24.4,5.7,6.7,4.6
