Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2018,,ALL,3,,1,3,-1,0,1,2,177,74%,72%,2%
2018,,3B,1,,0,0,0,0,1,0,7,100%,89%,11%
2018,,2B,3,,0,3,-1,0,0,2,170,73%,71%,2%
2019,,ALL,1,,2,-2,3,-2,2,-2,256,79%,79%,0%
2019,,RF,-2,,0,-1,1,-1,-2,0,63,83%,85%,-3%
2019,,LF,-2,,-1,0,0,-1,0,-2,64,81%,84%,-3%
2019,,3B,4,,2,0,2,0,3,1,50,78%,70%,8%
2019,,2B,0,,1,0,0,0,0,0,79,76%,76%,0%
2020,,ALL,1,,1,-1,0,1,0,1,117,83%,82%,1%
2020,,RF,1,,0,0,0,0,0,0,9,100%,94%,6%
2020,,LF,1,,0,0,1,1,2,-1,41,90%,87%,3%
2020,,3B,-2,,1,-1,-1,0,-3,1,38,76%,80%,-4%
2020,,2B,1,,0,0,0,0,0,1,29,76%,74%,2%
2021,,ALL,5,,3,-1,2,1,2,3,254,83%,81%,2%
2021,,LF,1,,1,0,0,0,0,1,52,90%,88%,2%
2021,,3B,0,,0,0,0,0,0,0,2,100%,91%,9%
2021,,2B,4,,3,-1,1,1,1,3,200,81%,79%,2%
2022,,ALL,8,,5,3,-2,2,2,6,445,82%,80%,2%
2022,,RF,0,,0,0,0,0,0,0,21,81%,82%,-1%
2022,,LF,1,,-1,1,0,1,-2,3,71,96%,94%,1%
2022,,3B,0,,0,0,0,0,0,0,1,100%,97%,3%
2022,,2B,8,,6,2,-2,1,3,4,352,79%,77%,2%
Career,,ALL,18,,12,2,2,3,7,11,1249,81%,79%,1%
