Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Kansas City Royals,MLB,Home Games,205,186,19,44,11,0,1,14,17,26,6,1,0,.237,.298,.312,.610
Toronto Blue Jays,MLB,Home Games,50,47,6,14,3,0,1,5,2,8,0,0,0,.298,.320,.426,.746
Kansas City Royals,MLB,Away Games,215,197,32,48,12,1,5,28,13,35,9,2,0,.244,.284,.391,.675
Toronto Blue Jays,MLB,Away Games,80,74,13,20,2,0,4,11,6,16,1,2,0,.270,.325,.459,.784
Kansas City Royals,MLB,Day Games,190,169,13,30,6,0,1,13,17,31,4,0,0,.178,.247,.231,.478
Toronto Blue Jays,MLB,Day Games,45,42,4,9,1,0,2,4,3,6,0,0,0,.214,.267,.381,.648
Kansas City Royals,MLB,Night Games,230,214,38,62,17,1,5,29,13,30,11,3,0,.290,.326,.449,.775
Toronto Blue Jays,MLB,Night Games,85,79,15,25,4,0,3,12,5,18,1,2,0,.316,.353,.481,.834
Kansas City Royals,MLB,Leading Off,148,142,,43,8,1,4,5,6,25,,,0,.303,.331,.458,.789
Toronto Blue Jays,MLB,Leading Off,36,35,,13,4,0,2,2,1,7,,,0,.371,.389,.657,1.046
Kansas City Royals,MLB,Late / Close,44,39,,6,2,0,0,4,3,8,,,0,.154,.205,.205,.410
Toronto Blue Jays,MLB,Late / Close,13,11,,5,1,0,1,5,2,1,,,0,.455,.538,.818,1.356
