Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2008,ATL,NL,P,16,15,74.2,10,3,7,0,0,,1.000
2009,PIT,NL,P,18,18,97.0,18,7,11,0,2,,1.000
2010,PIT,NL,P,17,17,79.2,21,6,12,3,0,,.857
2011,PIT,NL,P,29,29,171.2,39,7,31,1,1,,.974
2012,PIT,NL,P,9,9,50.1,12,3,6,3,0,,.750
2013,PIT,NL,P,20,20,116.0,17,4,13,0,0,,1.000
2014,PIT,NL,P,26,26,157.1,33,9,23,1,2,,.970
2015,PIT,NL,P,23,23,129.0,27,9,16,2,1,,.926
2016,PHI,NL,P,4,4,17.1,3,1,2,0,0,,1.000
2017,HOU,AL,P,25,25,146.2,23,10,9,4,1,,.826
2018,HOU,AL,P,30,30,167.0,14,2,12,0,1,,1.000
2019,TB,AL,P,33,33,194.2,15,9,6,0,0,,1.000
2020,TB,AL,P,9,9,38.0,3,2,1,0,0,,1.000
2021,ATL,NL,P,33,33,185.2,27,9,15,3,0,,.889
2022,ATL,NL,P,31,31,172.0,24,7,15,2,2,,.917
15 Seasons,5 Teams,,P,323,322,1797.0,286,88,179,19,10,,.934
