Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,0.0,0,935,38.0,216,.286,.438,.370,24.9,21.3,18.2,.238,.376,.326,42.1
2022,Slider,,-0.9,-3,356,14.5,117,.182,.291,.226,24.1,22.2,18.1,.165,.242,.202,21.2
2022,Sinker,,0.5,2,356,14.5,97,.318,.459,.390,13.6,8.2,10.7,.275,.429,.344,44.3
2022,Changeup,,0.2,1,302,12.3,96,.269,.430,.307,19.4,16.7,17.0,.258,.369,.284,37.2
2022,Curveball,,0.9,3,274,11.1,84,.260,.468,.359,24.3,26.2,23.4,.213,.347,.278,42.9
2022,Cutter,,-1.4,-3,194,7.9,44,.214,.333,.257,22.0,11.4,16.7,.268,.335,.285,40.5
2022,Splitter,,-2.7,-1,42,1.7,16,.188,.188,.169,23.1,18.8,21.4,.254,.279,.239,15.4
2021,4-Seamer,,0.1,1,"1,002",38.7,222,.259,.545,.401,19.5,18.5,18.1,.270,.533,.388,45.3
2021,Sinker,,1.4,6,416,16.1,113,.320,.466,.386,8.3,11.5,16.5,.283,.427,.336,33.0
2021,Slider,,2.0,7,358,13.8,103,.286,.538,.398,24.0,14.6,12.7,.259,.429,.341,34.2
2021,Curveball,,-0.8,-3,332,12.8,82,.276,.395,.312,33.8,34.1,25.9,.247,.328,.281,36.7
2021,Changeup,,2.5,7,280,10.8,95,.295,.568,.381,19.7,16.8,16.8,.273,.392,.309,41.1
2021,Cutter,,3.5,5,151,5.8,41,.425,.700,.487,15.0,9.8,12.1,.381,.594,.425,50.0
2021,Splitter,,-1.0,0,49,1.9,16,.200,.267,.234,48.0,50.0,38.1,.134,.154,.163,0.0
2020,4-Seamer,,-0.9,-2,250,41.5,59,.294,.412,.354,25.0,23.7,21.9,.197,.284,.267,34.2
2020,Sinker,,0.2,0,95,15.8,26,.318,.500,.379,11.6,19.2,21.7,.280,.352,.313,42.1
2020,Curveball,,-1.7,-1,73,12.1,19,.222,.222,.200,34.4,52.6,33.3,.115,.133,.112,11.1
2020,Changeup,,-4.3,-3,66,11.0,19,.158,.158,.142,12.5,10.5,10.5,.254,.309,.246,29.4
2020,Slider,,1.9,1,52,8.6,11,.273,.273,.245,33.3,36.4,19.0,.236,.263,.221,28.6
2020,Cutter,,0.9,0,52,8.6,15,.333,.733,.443,10.3,13.3,14.3,.212,.309,.229,30.8
2020,Splitter,,2.4,0,14,2.3,4,.250,1.000,.500,16.7,0.0,0.0,.254,.874,.450,25.0
2019,4-Seamer,,-4.8,-6,122,41.4,27,.042,.042,.123,33.3,25.9,18.4,.150,.300,.227,22.2
2019,Sinker,,-2.4,-2,64,21.7,13,.111,.111,.250,20.8,15.4,15.4,.232,.289,.343,25.0
2019,Changeup,,2.5,1,36,12.2,12,.273,.455,.283,16.7,0.0,0.0,.214,.255,.191,16.7
2019,Curveball,,-0.6,0,28,9.5,8,.143,.429,.288,26.7,25.0,16.7,.195,.267,.261,20.0
2019,Cutter,,-17.7,-3,16,5.4,7,.000,.000,.000,45.5,42.9,42.9,.160,.188,.153,0.0
2019,Splitter,,-5.0,-1,15,5.1,4,.000,.000,.000,11.1,0.0,0.0,.072,.082,.068,0.0
2019,Slider,,1.5,0,14,4.7,3,.000,.000,.233,25.0,0.0,0.0,.085,.091,.285,0.0
2018,4-Seamer,,-0.7,-2,317,41.2,74,.288,.439,.370,16.7,12.2,10.6,.277,.438,.351,35.1
2018,Sinker,,-0.9,-1,129,16.8,34,.185,.407,.339,8.3,8.8,10.3,.196,.329,.315,28.0
2018,Changeup,,-1.0,-1,109,14.2,31,.200,.333,.244,22.6,16.1,15.2,.241,.318,.255,28.0
2018,Slider,,-0.1,0,75,9.7,22,.286,.333,.293,20.6,36.4,30.8,.167,.203,.190,23.1
2018,Curveball,,0.3,0,73,9.5,14,.167,.167,.208,24.0,42.9,23.1,.033,.042,.093,0.0
2018,Cutter,,-2.9,-2,58,7.5,13,.091,.091,.177,27.8,46.2,31.6,.059,.066,.160,20.0
2018,Splitter,,15.5,1,5,0.6,2,.500,.500,.450,0.0,0.0,0.0,.165,.177,.155,50.0
2018,Knuckleball,,-7.7,0,3,0.4,1,.000,.000,.000,0.0,0.0,0.0,.223,.242,.201,0.0
