Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
AZL Athletics Gold,Rookie,First Inning,9,8,2,0,0,0,0,0,1,2,0,0,0,.000,.111,.000,.111
AZL Athletics Green,Rookie,First Inning,1,0,0,0,0,0,0,0,1,0,0,0,0,.000,1.000,.000,1.000
Las Vegas Aviators,Triple-A,First Inning,10,8,1,2,0,0,0,0,2,2,0,0,0,.250,.400,.250,.650
Las Vegas Aviators,Triple-A,Second Inning,18,15,6,4,1,0,1,2,3,2,0,0,0,.267,.389,.533,.922
AZL Athletics Green,Rookie,Third Inning,1,0,1,0,0,0,0,0,1,0,0,0,0,.000,1.000,.000,1.000
AZL Athletics Gold,Rookie,Third Inning,7,7,1,1,0,0,1,1,0,0,0,0,0,.143,.143,.571,.714
Las Vegas Aviators,Triple-A,Third Inning,19,18,3,6,1,1,0,2,0,3,0,0,1,.333,.368,.500,.868
AZL Athletics Green,Rookie,Fourth Inning,1,1,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
AZL Athletics Gold,Rookie,Fourth Inning,2,2,1,2,1,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500
Las Vegas Aviators,Triple-A,Fourth Inning,16,12,3,3,1,0,1,4,2,4,0,0,1,.250,.375,.583,.958
AZL Athletics Gold,Rookie,Fifth Inning,2,1,1,0,0,0,0,0,1,0,0,0,0,.000,.500,.000,.500
Las Vegas Aviators,Triple-A,Fifth Inning,17,12,2,2,0,0,1,4,4,3,0,0,0,.167,.353,.417,.770
AZL Athletics Green,Rookie,Sixth Inning,1,0,0,0,0,0,0,0,1,0,0,0,0,.000,1.000,.000,1.000
AZL Athletics Gold,Rookie,Sixth Inning,5,5,1,2,1,0,0,0,0,0,0,0,0,.400,.400,.600,1.000
Las Vegas Aviators,Triple-A,Sixth Inning,13,11,1,3,0,0,1,1,2,5,0,0,0,.273,.385,.545,.930
AZL Athletics Gold,Rookie,Seventh Inning,3,2,2,1,0,0,0,0,1,0,0,0,0,.500,.667,.500,1.167
Las Vegas Aviators,Triple-A,Seventh Inning,20,19,5,8,3,0,3,7,1,6,0,0,0,.421,.450,1.053,1.503
AZL Athletics Gold,Rookie,Eighth Inning,3,2,0,0,0,0,0,0,1,1,0,0,0,.000,.333,.000,.333
AZL Athletics Green,Rookie,Eighth Inning,1,1,0,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
Las Vegas Aviators,Triple-A,Eighth Inning,15,14,3,4,0,0,3,8,1,3,0,1,0,.286,.333,.929,1.262
AZL Athletics Gold,Rookie,Ninth Inning,1,1,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Las Vegas Aviators,Triple-A,Ninth Inning,11,10,1,5,0,0,0,2,0,2,0,0,0,.500,.455,.500,.955
Las Vegas Aviators,Triple-A,Extra Innings,1,1,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
