Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,063",52.5,267,243,58,34,11,0,13,55,190,.239,.284,.444,.549,.322,.381,92.0,18,20.1,18.1
2022,Breaking,738,36.5,191,178,40,24,7,0,9,53,127,.225,.241,.416,.449,.295,.316,86.3,16,39.3,20.3
2022,Offspeed,222,11.0,49,49,8,6,1,0,1,14,35,.163,.171,.245,.234,.176,.177,86.5,7,33.3,17.3
2021,Fastballs,426,56.2,119,102,25,19,2,0,4,24,78,.245,.293,.382,.474,.328,.379,93.6,17,20.4,23.8
2021,Breaking,245,32.3,60,57,7,4,1,0,2,17,40,.123,.202,.246,.380,.181,.270,84.5,10,37.8,22.1
2021,Offspeed,87,11.5,29,29,8,4,3,0,1,5,24,.276,.311,.483,.570,.319,.373,85.7,15,25.0,20.8
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
