Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Houston Astros,MLB,First Inning,60,58,9,13,2,0,4,7,1,16,3,1,0,.224,.237,.466,.703
Houston Astros,MLB,Second Inning,71,66,7,19,4,1,2,7,1,21,1,1,1,.288,.300,.470,.770
Houston Astros,MLB,Third Inning,62,56,9,12,2,0,1,7,3,8,1,0,2,.214,.279,.304,.583
Houston Astros,MLB,Fourth Inning,66,64,8,16,2,0,2,7,2,16,0,0,0,.250,.273,.375,.648
Houston Astros,MLB,Fifth Inning,60,58,10,19,3,0,5,9,1,12,2,0,0,.328,.339,.638,.977
Houston Astros,MLB,Sixth Inning,66,58,8,12,2,0,3,10,6,15,0,0,1,.207,.288,.397,.685
Houston Astros,MLB,Seventh Inning,56,54,6,14,1,1,2,4,1,14,2,0,0,.259,.268,.426,.694
Houston Astros,MLB,Eighth Inning,59,51,10,14,3,0,1,5,5,17,2,0,2,.275,.356,.392,.748
Houston Astros,MLB,Ninth Inning,51,49,1,10,1,0,1,3,2,16,0,0,0,.204,.235,.286,.521
Houston Astros,MLB,Extra Innings,7,7,4,3,0,0,1,4,0,0,0,0,0,.429,.429,.857,1.286
