Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,1.2,9,753,30.1,183,.282,.494,.379,19.9,29.5,21.2,.269,.495,.378,62.1
2022,Slider,,-0.8,-5,568,22.7,139,.169,.300,.232,41.8,38.8,27.8,.166,.277,.223,43.4
2022,Sinker,,-0.4,-2,489,19.5,141,.250,.306,.299,11.3,10.6,14.2,.291,.398,.344,47.7
2022,Curveball,,-1.4,-3,238,9.5,45,.125,.300,.218,30.0,31.1,16.3,.146,.263,.240,37.0
2022,Changeup,,-0.4,-1,233,9.3,67,.258,.339,.294,34.2,31.3,24.4,.230,.325,.275,36.6
2022,Cutter,,1.2,2,192,7.7,39,.371,.571,.436,23.8,12.8,8.6,.325,.515,.397,50.0
2022,Splitter,,-4.1,-1,28,1.1,6,.000,.000,.000,42.9,66.7,22.2,.027,.031,.026,0.0
2022,N/A,,-13.3,0,3,0.1,1,--,--,.000,0.0,0.0,--,--,--,.032,0.0
2021,4-Seamer,,0.1,0,762,32.1,194,.272,.457,.373,17.7,18.6,17.6,.319,.593,.432,60.9
2021,Sinker,,0.3,2,531,22.4,132,.301,.416,.370,12.5,15.2,14.7,.244,.354,.318,41.5
2021,Slider,,-0.9,-5,510,21.5,109,.141,.250,.267,36.5,33.9,20.1,.184,.295,.275,37.5
2021,Curveball,,-0.1,0,215,9.1,38,.121,.212,.216,33.3,36.8,17.9,.183,.321,.278,36.8
2021,Changeup,,0.0,0,173,7.3,39,.167,.333,.254,35.5,35.9,26.4,.159,.281,.229,31.8
2021,Cutter,,0.7,1,160,6.7,41,.176,.412,.366,22.5,14.6,15.0,.293,.586,.428,42.9
2021,Splitter,,3.6,1,23,1.0,5,.400,1.000,.580,27.3,20.0,6.7,.454,.761,.513,75.0
2020,4-Seamer,,2.1,3,169,33.9,42,.182,.303,.343,19.3,19.0,16.7,.281,.592,.438,60.0
2020,Sinker,,-3.9,-4,109,21.8,32,.233,.233,.219,15.9,18.8,28.6,.223,.272,.249,45.8
2020,Slider,,-1.3,-1,83,16.6,19,.176,.353,.274,40.0,26.3,22.7,.267,.516,.369,50.0
2020,Curveball,,-3.1,-1,48,9.6,12,.091,.091,.133,35.3,16.7,14.3,.223,.426,.309,44.4
2020,Cutter,,0.8,0,44,8.8,5,.250,.250,.320,30.8,40.0,16.7,.181,.206,.278,50.0
2020,Changeup,,5.7,2,32,6.4,10,.444,.889,.575,29.4,10.0,8.3,.391,.677,.480,50.0
2020,Splitter,,-0.9,0,11,2.2,4,.250,.250,.225,71.4,75.0,60.0,.190,.207,.176,0.0
2020,N/A,,-10.9,0,3,0.6,1,.000,.000,.000,0.0,0.0,--,.070,.071,.085,0.0
2019,4-Seamer,,1.6,14,871,33.4,209,.369,.587,.460,13.4,12.9,12.1,.353,.615,.447,57.2
2019,Slider,,-1.5,-9,591,22.7,132,.178,.271,.256,30.5,34.8,23.6,.213,.329,.281,41.7
2019,Sinker,,-1.3,-6,442,17.0,132,.200,.296,.284,11.4,11.4,14.9,.205,.290,.276,30.0
2019,Cutter,,1.6,4,244,9.4,73,.242,.470,.391,25.5,23.3,25.8,.251,.481,.342,50.0
2019,Changeup,,1.9,4,211,8.1,48,.289,.500,.450,30.4,8.3,7.1,.235,.423,.362,29.4
2019,Curveball,,3.1,6,207,7.9,45,.390,.683,.479,24.2,22.2,17.2,.327,.545,.395,51.6
2019,Splitter,,3.3,1,36,1.4,10,.222,.667,.395,31.3,40.0,25.0,.201,.523,.331,40.0
2018,4-Seamer,,0.6,5,773,34.4,202,.274,.482,.382,21.8,25.7,22.0,.323,.599,.439,60.7
2018,Sinker,,-0.1,0,484,21.5,142,.293,.407,.358,16.9,17.6,20.8,.276,.414,.348,40.4
2018,Slider,,0.1,0,432,19.2,105,.202,.404,.310,37.9,27.6,22.3,.229,.427,.324,46.2
2018,Curveball,,1.5,4,244,10.9,45,.289,.500,.378,26.1,31.1,20.3,.260,.448,.349,60.0
2018,Changeup,,3.3,5,145,6.5,32,.375,.750,.503,32.8,31.3,22.7,.342,.677,.430,54.5
2018,Cutter,,2.5,3,137,6.1,35,.333,.455,.390,24.2,20.0,17.9,.218,.376,.280,30.8
2018,Splitter,,-7.3,-1,20,0.9,3,.000,.000,.000,41.7,33.3,12.5,.327,.361,.295,50.0
2017,4-Seamer,,2.2,17,758,35.8,198,.327,.540,.457,16.4,20.2,19.0,.294,.496,.414,46.5
2017,Sinker,,1.8,8,431,20.3,130,.325,.526,.413,8.8,12.3,16.5,.319,.531,.401,44.9
2017,Slider,,2.0,7,338,15.9,80,.324,.541,.406,33.9,36.3,25.2,.262,.492,.344,46.7
2017,Curveball,,-0.6,-2,285,13.4,41,.167,.194,.226,39.4,39.0,23.2,.148,.194,.216,30.0
2017,Changeup,,1.6,3,157,7.4,42,.316,.658,.457,26.6,21.4,18.4,.280,.495,.360,41.4
2017,Cutter,,0.7,1,101,4.8,28,.273,.591,.409,26.2,14.3,14.3,.243,.542,.388,31.6
2017,Splitter,,3.2,1,26,1.2,4,.000,.000,.225,25.0,25.0,10.0,.140,.207,.143,33.3
2017,Knuckleball,,9.3,1,10,0.5,4,.500,1.250,.725,0.0,0.0,0.0,.413,.941,.560,50.0
