Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,Slider,,-0.9,-4,505,27.5,138,.205,.295,.245,34.2,26.1,23.8,.205,.307,.243,29.9
2022,4-Seamer,,-0.5,-3,495,26.9,153,.259,.519,.374,24.9,19.0,23.0,.288,.595,.414,52.8
2022,Sinker,,-0.5,-1,296,16.1,84,.316,.367,.321,16.6,8.3,12.1,.307,.398,.315,47.3
2022,Changeup,,-1.5,-3,187,10.2,52,.176,.294,.228,16.5,19.2,17.5,.230,.330,.251,36.6
2022,Curveball,,-1.1,-2,161,8.8,39,.250,.333,.271,22.2,23.1,19.6,.278,.350,.296,35.7
2022,Cutter,,1.9,3,157,8.5,50,.255,.426,.334,18.0,6.0,8.8,.245,.427,.312,40.9
2022,Splitter,,7.8,2,21,1.1,7,.333,.667,.457,55.6,57.1,33.3,.246,.299,.307,100.0
2022,N/A,,-3.0,0,8,0.4,2,.000,.000,.350,0.0,0.0,--,.060,.093,.384,0.0
2021,4-Seamer,,3.7,16,432,29.5,136,.336,.681,.463,13.8,11.0,11.4,.332,.682,.461,59.0
2021,Slider,,1.2,4,352,24.0,103,.271,.531,.368,32.1,25.2,23.4,.269,.512,.347,40.8
2021,Sinker,,2.3,6,248,16.9,78,.361,.556,.436,19.5,12.8,21.7,.315,.449,.358,50.0
2021,Changeup,,-1.5,-3,173,11.8,39,.158,.211,.174,29.4,33.3,27.1,.156,.186,.163,16.0
2021,Curveball,,0.7,1,138,9.4,32,.250,.344,.286,32.8,31.3,20.4,.221,.316,.230,45.5
2021,Cutter,,-0.3,0,84,5.7,22,.300,.550,.391,24.5,13.6,15.0,.293,.496,.369,41.2
2021,Splitter,,-1.5,0,31,2.1,6,.167,.500,.267,45.0,50.0,25.0,.160,.245,.174,66.7
2021,N/A,,3.1,0,7,0.5,2,1.000,1.000,.800,0.0,0.0,0.0,.302,.304,.486,0.0
2020,4-Seamer,,4.1,10,234,31.4,67,.409,.924,.558,18.8,11.9,12.5,.348,.737,.456,56.9
2020,Slider,,-0.4,-1,165,22.1,46,.167,.333,.263,35.2,32.6,28.8,.196,.347,.256,39.3
2020,Changeup,,-2.2,-2,103,13.8,24,.190,.333,.283,32.7,25.0,18.2,.150,.253,.240,20.0
2020,Sinker,,-1.1,-1,101,13.5,33,.233,.467,.311,13.2,21.2,26.9,.252,.403,.324,37.5
2020,Curveball,,0.3,0,91,12.2,20,.316,.474,.358,22.6,20.0,16.0,.301,.434,.338,40.0
2020,Cutter,,-5.8,-3,45,6.0,17,.125,.125,.156,20.7,23.5,26.7,.256,.337,.282,25.0
2020,Splitter,,-4.3,0,5,0.7,1,.000,.000,.000,66.7,100.0,100.0,--,--,.000,--
