Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2010,Spokane Indians,NWL,A(Short),SS,63,63,559.0,338,90,232,16,49,,.953
2011,Hickory Crawdads,SAL,A(Full),SS,114,114,991.2,493,176,295,22,62,,.955
2012,Frisco RoughRiders,TEX,AA,2B,25,23,206.0,122,53,68,1,25,,.992
2012,Frisco RoughRiders,TEX,AA,3B,1,1,8.0,4,3,1,0,0,,1.000
2012,Frisco RoughRiders,TEX,AA,SS,97,94,851.0,444,154,268,22,72,,.950
2012,Frisco RoughRiders,TEX,AA,DH,5,5,0.0,0,0,0,0,0,,.000
2013,Round Rock Express,PCL,AAA,2B,7,7,64.1,33,18,14,1,1,,.970
2013,Round Rock Express,PCL,AAA,SS,30,30,256.0,145,51,88,6,28,,.959
2015,2 Teams,,Minors,DH,12,12,0.0,0,0,0,0,0,,.000
2015,Hickory Crawdads,SAL,A,DH,9,9,0.0,0,0,0,0,0,,.000
2015,Frisco RoughRiders,TEX,AA,DH,3,3,0.0,0,0,0,0,0,,.000
2016,Round Rock Express,PCL,AAA,2B,6,6,50.2,34,9,25,0,4,,1.000
2016,Round Rock Express,PCL,AAA,SS,31,31,269.1,155,44,106,5,25,,.968
2016,Round Rock Express,PCL,AAA,DH,5,5,0.0,0,0,0,0,0,,.000
2017,Round Rock Express,PCL,AAA,1B,1,1,8.0,13,12,1,0,0,,1.000
2017,Round Rock Express,PCL,AAA,2B,3,3,25.0,8,4,4,0,2,,1.000
2017,Round Rock Express,PCL,AAA,SS,78,78,665.0,343,131,201,11,54,,.968
2017,Round Rock Express,PCL,AAA,LF,1,1,9.0,0,0,0,0,0,,.000
2017,Round Rock Express,PCL,AAA,DH,4,4,0.0,0,0,0,0,0,,.000
2021,El Paso Chihuahuas,PCL,AAA,1B,1,1,6.0,2,2,0,0,0,,1.000
2021,El Paso Chihuahuas,PCL,AAA,2B,1,0,2.0,1,0,1,0,0,,1.000
2021,El Paso Chihuahuas,PCL,AAA,LF,2,2,16.0,2,2,0,0,0,,1.000
2022,Lake Elsinore Storm,CAL,A,DH,1,1,0.0,0,0,0,0,0,,.000
,2 Teams,,AAA,1B,2,2,14.0,15,14,1,0,0,,1.000
,2 Teams,,AAA,2B,17,16,142.0,76,31,44,1,7,,.987
,Round Rock Express,PCL,AAA,SS,139,139,1190.1,643,226,395,22,107,,.966
,2 Teams,,AAA,LF,3,3,25.0,2,2,0,0,0,,1.000
,Round Rock Express,PCL,AAA,DH,9,9,0.0,0,0,0,0,0,,.000
,Frisco RoughRiders,TEX,AA,2B,25,23,206.0,122,53,68,1,25,,.992
,Frisco RoughRiders,TEX,AA,3B,1,1,8.0,4,3,1,0,0,,1.000
,Frisco RoughRiders,TEX,AA,SS,97,94,851.0,444,154,268,22,72,,.950
,Frisco RoughRiders,TEX,AA,DH,8,8,0.0,0,0,0,0,0,,.000
,2 Teams,,A,DH,10,10,0.0,0,0,0,0,0,,.000
,Hickory Crawdads,SAL,A,SS,114,114,991.2,493,176,295,22,62,,.955
,Spokane Indians,NWL,A(Short),SS,63,63,559.0,338,90,232,16,49,,.953
,1 Teams,,Minors,2B,25,23,206.0,122,53,68,1,25,,.992
,1 Teams,,Minors,3B,1,1,8.0,4,3,1,0,0,,1.000
,4 Teams,,Minors,SS,413,410,3592.0,1918,646,1190,82,290,,.957
Career Minors,2 Teams,,,DH,17,17,0.0,0,0,0,0,0,,.000
