Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2013,CLE,AL,14,6,2,0,0,.400,1,0,1,68,4.857,.143,.000,1.000,.167,0,0
2014,CLE,AL,266,82,85,13,2,.297,14,3,39,1016,3.820,.132,.008,.371,.084,1,1
2015,CLE,AL,355,107,131,5,2,.232,23,5,56,1416,3.989,.110,.017,.821,.121,3,0
2016,CLE,AL,618,261,213,1,4,.333,60,10,96,2428,3.929,.100,.018,.710,.150,5,2
2017,CLE,AL,645,341,227,0,5,.319,91,13,113,2576,3.994,.107,.045,.754,.265,4,0
2018,CLE,AL,698,319,235,0,6,.252,81,2,122,3002,4.301,.115,.056,1.325,.282,5,0
2019,CLE,AL,542,231,217,0,6,.256,59,8,71,2173,4.009,.137,.042,.703,.224,5,1
2020,CLE,AL,254,133,92,0,1,.294,34,2,37,1146,4.512,.169,.067,.721,.315,3,1
2021,CLE,AL,636,297,229,0,5,.256,73,13,111,2675,4.206,.137,.057,.828,.272,2,1
2022,CLE,AL,685,309,239,0,9,.279,78,5,123,2742,4.003,.120,.042,.841,.235,2,0
10 Seasons,CLE,AL,4713,2086,1670,19,40,.281,514,61,769,19242,4.083,.122,.041,.825,.225,30,6
