Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %
2015,"1,416",50.8,57.1,89.3,24.7,79.7,44.2,18.6,41.2,11.3,7.6,69.2
2016,"2,428",49.6,62.0,89.2,26.3,82.0,42.6,18.3,44.0,12.6,7.7,73.3
2017,"2,576",47.3,65.8,90.4,23.1,76.0,42.6,15.8,43.3,13.6,6.8,77.1
2018,"3,002",46.2,60.8,89.7,19.8,76.1,42.0,12.2,38.6,13.6,6.7,73.7
2019,"2,173",47.2,64.2,90.8,23.1,71.5,44.3,15.9,42.5,14.5,7.6,80.5
2020,"1,146",46.3,63.1,86.9,22.8,75.0,43.5,18.5,41.4,16.6,5.6,75.0
2021,"2,675",46.7,64.5,91.1,24.1,71.1,42.5,13.9,43.0,14.9,6.9,69.0
2022,"2,742",46.6,66.4,90.1,28.7,73.1,43.8,18.0,46.3,15.1,6.3,70.3
Player,"18,158",47.5,63.3,89.9,24.1,75.3,43.1,16.0,42.6,14.0,6.9,73.5
MLB,,48.5,66.9,82.0,28.4,58.3,42.6,29.5,47.1,24.7,7.2,76.1
