Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,878,48.3,259,245,72,49,10,3,10,32,214,.294,.270,.482,.425,.351,.320,86.8,8,15.0,13.7
2022,Breaking,587,32.3,142,135,35,20,10,1,4,31,104,.259,.236,.437,.364,.317,.281,85.3,12,25.9,17.1
2022,Offspeed,353,19.4,110,109,22,17,2,0,3,16,93,.202,.241,.303,.352,.222,.260,87.5,12,30.4,15.2
2021,Fastballs,388,52.4,93,85,24,19,0,0,5,13,74,.282,.271,.459,.472,.336,.337,86.7,17,22.5,13.8
2021,Breaking,211,28.5,56,51,5,5,0,0,0,19,34,.098,.166,.098,.214,.118,.192,84.9,7,34.0,25.3
2021,Offspeed,142,19.2,41,38,6,4,1,0,1,6,33,.158,.257,.263,.470,.204,.331,79.4,2,28.4,14.3
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
