Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Indianapolis Indians,Triple-A,First Inning,8,7,0,2,0,0,0,1,1,3,0,0,0,.286,.375,.286,.661
Indianapolis Indians,Triple-A,Second Inning,5,5,0,2,0,0,0,0,0,0,0,0,0,.400,.400,.400,.800
Indianapolis Indians,Triple-A,Third Inning,5,5,1,2,0,0,0,1,0,0,0,0,0,.400,.400,.400,.800
Indianapolis Indians,Triple-A,Fourth Inning,10,8,5,5,0,0,3,6,2,1,2,0,0,.625,.700,1.750,2.450
Indianapolis Indians,Triple-A,Fifth Inning,4,3,0,1,0,0,0,0,1,1,0,0,0,.333,.500,.333,.833
Indianapolis Indians,Triple-A,Sixth Inning,9,6,1,1,0,0,1,2,2,2,0,1,0,.167,.375,.667,1.042
Indianapolis Indians,Triple-A,Seventh Inning,4,4,1,2,0,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500
Indianapolis Indians,Triple-A,Eighth Inning,8,8,2,2,1,0,1,1,0,2,0,0,0,.250,.250,.750,1.000
Indianapolis Indians,Triple-A,Ninth Inning,3,2,0,0,0,0,0,0,1,2,1,0,0,.000,.333,.000,.333
Indianapolis Indians,Triple-A,Extra Innings,1,1,0,1,0,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000
