Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2016,,ALL,2,,0,-1,3,1,4,-1,216,75%,74%,1%
2016,,SS,0,,-2,0,1,0,2,-2,110,73%,73%,0%
2016,,3B,2,,0,0,1,0,1,1,12,83%,69%,15%
2016,,2B,1,,1,0,0,0,0,1,61,77%,76%,2%
2016,,1B,-1,,1,-2,0,0,0,-1,33,76%,78%,-2%
2017,,ALL,1,,2,-2,1,1,3,-1,296,75%,75%,0%
2017,,SS,1,,2,-2,0,0,3,-2,275,75%,74%,0%
2017,,3B,0,,0,0,0,0,0,0,14,79%,79%,0%
2017,,2B,1,,0,0,0,0,0,0,6,83%,73%,11%
2017,,1B,0,,0,0,0,0,0,0,1,100%,96%,4%
2018,,ALL,15,,7,6,3,-1,10,5,459,77%,74%,3%
2018,,SS,9,,5,4,0,-1,4,4,292,79%,76%,3%
2018,,3B,3,,2,-1,1,0,3,0,96,72%,69%,3%
2018,,2B,3,,1,1,1,0,1,2,36,83%,75%,8%
2018,,1B,0,,-1,1,1,0,2,-1,35,71%,71%,1%
2019,,ALL,0,,-1,4,-4,1,4,-5,425,74%,74%,0%
2019,,SS,0,,-1,4,-4,1,4,-5,423,74%,74%,0%
2019,,2B,0,,0,0,0,0,0,0,2,100%,99%,1%
2020,,ALL,3,,3,0,0,0,1,2,172,80%,79%,2%
2020,,SS,3,,3,0,0,0,1,2,170,81%,79%,2%
2020,,3B,0,,0,0,0,0,0,0,1,100%,89%,11%
2020,,1B,0,,0,0,0,0,0,0,1,0%,0%,0%
2021,,SS,-4,,-5,1,1,0,0,-4,408,77%,78%,-1%
2022,,ALL,12,,6,3,2,0,8,4,502,76%,74%,2%
2022,,SS,10,,6,2,2,0,7,3,491,77%,75%,2%
2022,,1B,2,,0,1,0,0,1,1,11,73%,59%,14%
Career,,ALL,28,,12,10,5,1,29,-1,2478,76%,75%,1%
