Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Cleveland Guardians,MLB,First Inning,134,128,23,36,3,1,4,8,3,17,2,1,2,.281,.306,.414,.720
Cleveland Guardians,MLB,Second Inning,42,40,4,12,2,0,0,8,2,7,1,0,0,.300,.333,.350,.683
Cleveland Guardians,MLB,Third Inning,84,82,11,24,5,1,2,10,2,16,2,0,0,.293,.310,.451,.761
Cleveland Guardians,MLB,Fourth Inning,66,63,6,17,3,2,0,2,3,12,2,0,0,.270,.303,.381,.684
Cleveland Guardians,MLB,Fifth Inning,73,65,8,15,2,0,2,12,7,9,2,0,0,.231,.301,.354,.655
Cleveland Guardians,MLB,Sixth Inning,64,61,7,18,4,1,1,8,3,6,2,1,0,.295,.328,.443,.771
Cleveland Guardians,MLB,Seventh Inning,80,74,5,19,2,2,1,10,4,23,1,0,1,.257,.300,.378,.678
Cleveland Guardians,MLB,Eighth Inning,71,70,10,23,3,1,0,6,0,12,4,2,1,.329,.338,.400,.738
Cleveland Guardians,MLB,Ninth Inning,43,41,8,11,1,1,1,3,1,7,1,0,0,.268,.279,.415,.694
Cleveland Guardians,MLB,Extra Innings,13,13,4,5,1,0,0,4,0,2,1,0,0,.385,.385,.462,.847
