Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,0.3,2,803,33.5,177,.281,.450,.347,23.9,20.9,17.9,.281,.463,.354,52.0
2022,Slider,,0.2,1,670,28.0,206,.265,.370,.290,24.2,18.9,19.8,.258,.350,.277,30.9
2022,Sinker,,-1.0,-4,381,15.9,101,.260,.344,.303,10.7,9.9,14.9,.286,.386,.313,39.5
2022,Curveball,,-0.7,-2,222,9.3,79,.231,.308,.241,20.0,13.9,17.2,.276,.352,.281,34.3
2022,Changeup,,1.9,3,172,7.2,60,.322,.525,.368,19.3,16.7,13.7,.259,.409,.293,32.7
2022,Cutter,,3.3,4,118,4.9,33,.452,.484,.462,16.7,6.1,8.3,.352,.479,.384,37.9
2022,Splitter,,9.1,2,25,1.0,12,.500,.667,.583,19.0,16.7,18.2,.292,.343,.283,30.0
2022,N/A,,-8.6,0,2,0.1,1,.000,.000,.000,0.0,0.0,--,.491,.514,.445,100.0
2021,4-Seamer,,0.4,3,695,32.2,178,.327,.484,.393,18.2,13.5,14.6,.291,.418,.347,51.9
2021,Slider,,-0.6,-3,532,24.7,163,.217,.325,.249,33.6,31.3,27.1,.228,.292,.240,34.6
2021,Sinker,,-0.9,-3,336,15.6,79,.315,.370,.344,14.2,10.1,13.8,.291,.367,.320,52.3
2021,Changeup,,1.5,3,232,10.8,67,.318,.515,.376,26.4,17.9,17.4,.306,.450,.333,33.3
2021,Cutter,,1.6,3,172,8.0,51,.340,.489,.391,25.8,11.8,14.0,.325,.504,.379,40.5
2021,Curveball,,-2.2,-4,169,7.8,45,.186,.209,.183,39.4,42.2,33.9,.162,.191,.184,42.3
2021,Splitter,,-5.3,-1,16,0.7,3,.000,.000,.000,33.3,0.0,0.0,.218,.238,.206,33.3
2020,4-Seamer,,3.2,5,169,32.3,37,.371,.600,.481,19.5,16.2,13.6,.353,.636,.434,44.8
2020,Slider,,0.9,1,102,19.5,31,.290,.484,.353,19.1,22.6,22.6,.234,.310,.262,41.7
2020,Changeup,,-4.7,-4,76,14.5,32,.226,.323,.253,24.1,18.8,27.3,.191,.215,.199,8.0
2020,Sinker,,-2.8,-2,70,13.4,18,.118,.118,.200,16.1,16.7,33.3,.242,.335,.277,57.1
2020,Cutter,,-5.8,-3,51,9.8,11,.182,.182,.090,34.6,18.2,25.0,.140,.170,.138,0.0
2020,Curveball,,-4.5,-2,49,9.4,15,.200,.200,.180,54.5,60.0,42.9,.104,.122,.102,33.3
2020,Splitter,,-21.5,-1,6,1.1,3,.000,.000,.000,33.3,33.3,50.0,.151,.163,.139,50.0
2019,4-Seamer,,1.6,12,758,31.5,192,.357,.550,.430,13.8,13.0,11.3,.335,.547,.404,52.4
2019,Slider,,-1.1,-6,535,22.2,153,.238,.395,.278,37.8,27.5,26.1,.220,.346,.254,30.8
2019,Sinker,,-0.2,-1,415,17.2,115,.324,.444,.366,15.0,10.4,12.9,.322,.425,.338,39.8
2019,Curveball,,0.5,1,272,11.3,71,.254,.352,.263,26.0,19.7,16.9,.309,.429,.316,42.1
2019,Changeup,,-2.0,-4,205,8.5,53,.192,.269,.243,35.5,26.4,21.2,.232,.280,.232,18.4
2019,Cutter,,-4.4,-7,162,6.7,53,.176,.275,.230,30.0,26.4,30.4,.220,.300,.241,32.4
2019,Splitter,,5.7,2,39,1.6,10,.500,.500,.540,26.1,10.0,7.7,.300,.344,.278,22.2
2019,N/A,,86.9,2,2,0.1,1,1.000,3.000,1.600,0.0,0.0,--,.467,.861,.549,100.0
2018,4-Seamer,,-0.4,-3,713,33.5,160,.300,.500,.373,22.3,15.0,12.8,.312,.505,.390,47.0
2018,Slider,,-3.6,-16,439,20.6,133,.169,.223,.178,36.4,28.6,27.0,.180,.236,.190,12.9
2018,Sinker,,0.1,0,396,18.6,121,.295,.411,.331,12.9,13.2,17.2,.333,.467,.362,43.0
2018,Curveball,,0.0,0,252,11.8,72,.278,.444,.335,28.4,26.4,21.8,.210,.286,.214,30.2
2018,Changeup,,-0.4,-1,158,7.4,48,.292,.438,.352,32.0,16.7,15.4,.265,.368,.275,22.5
2018,Cutter,,-2.3,-3,131,6.2,39,.216,.270,.238,24.4,17.9,22.6,.209,.249,.229,20.0
2018,Splitter,,-10.6,-2,23,1.1,9,.000,.000,.000,66.7,66.7,54.5,.027,.056,.034,0.0
2017,4-Seamer,,-2.7,-6,232,36.1,51,.234,.319,.277,30.6,27.5,23.0,.274,.361,.306,33.3
2017,Slider,,-1.6,-2,130,20.2,39,.231,.436,.282,45.9,35.9,33.3,.189,.269,.196,16.0
2017,Sinker,,-0.5,0,96,15.0,23,.348,.565,.391,26.5,13.0,12.0,.316,.462,.330,40.0
2017,Curveball,,-1.9,-1,68,10.6,18,.111,.222,.178,29.4,22.2,14.8,.175,.258,.223,7.1
2017,Changeup,,-0.7,0,56,8.7,22,.273,.318,.261,48.6,31.8,35.0,.189,.223,.183,26.7
2017,Cutter,,-0.7,0,40,6.2,12,.333,.500,.358,39.3,41.7,41.7,.096,.110,.089,0.0
2017,Knuckleball,,-2.3,0,11,1.7,2,.500,1.500,.800,20.0,50.0,25.0,.180,.381,.232,100.0
2017,Splitter,,4.9,0,7,1.1,2,.000,.000,.350,50.0,50.0,25.0,--,--,.350,--
