Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2009,DSL Orioles,DSL,ROK,3B,1,0,1.0,0,0,0,0,0,,.000
2009,DSL Orioles,DSL,ROK,SS,67,65,565.2,356,113,223,20,38,,.944
2009,DSL Orioles,DSL,ROK,DH,1,1,0.0,0,0,0,0,0,,.000
2010,3 Teams,,Minors,SS,55,55,471.2,255,85,152,18,33,,.929
2010,3 Teams,,Minors,SS,55,55,471.2,255,85,152,18,33,,.929
2010,GCL Orioles,GCL,ROK,SS,16,16,140.0,52,17,34,1,7,,.981
2010,Bluefield Orioles,APP,ROK,SS,38,38,322.2,196,65,114,17,25,,.913
2010,2 Teams,,ROK,SS,54,54,462.2,248,82,148,18,32,,.927
2010,Frederick Keys,CAR,A(Adv),SS,1,1,9.0,7,3,4,0,1,,1.000
2010,Frederick Keys,CAR,A(Adv),LF,1,0,7.0,0,0,0,0,0,,.000
2010,Frederick Keys,CAR,A(Adv),DH,3,3,0.0,0,0,0,0,0,,.000
2011,2 Teams,,Minors,SS,43,39,367.2,227,64,150,13,28,,.943
2011,2 Teams,,Minors,3B,23,22,199.2,82,18,56,8,3,,.902
2011,2 Teams,,Minors,2B,64,64,558.1,285,118,160,7,34,,.975
2011,2 Teams,,Minors,SS,43,39,367.2,227,64,150,13,28,,.943
2011,2 Teams,,Minors,3B,23,22,199.2,82,18,56,8,3,,.902
2011,2 Teams,,Minors,2B,64,64,558.1,285,118,160,7,34,,.975
2011,Delmarva Shorebirds,SAL,A(Full),2B,1,1,9.0,3,2,1,0,0,,1.000
2011,Delmarva Shorebirds,SAL,A(Full),3B,20,20,175.2,72,16,48,8,2,,.889
2011,Delmarva Shorebirds,SAL,A(Full),SS,31,30,279.0,175,52,114,9,25,,.949
2011,Frederick Keys,CAR,A(Adv),2B,63,63,549.1,282,116,159,7,34,,.975
2011,Frederick Keys,CAR,A(Adv),3B,3,2,24.0,10,2,8,0,1,,1.000
2011,Frederick Keys,CAR,A(Adv),SS,12,9,88.2,52,12,36,4,3,,.923
2011,Frederick Keys,CAR,A(Adv),DH,1,1,0.0,0,0,0,0,0,,.000
2012,Bowie Baysox,EAS,AA,2B,88,83,755.1,427,161,253,13,68,,.970
2012,Bowie Baysox,EAS,AA,SS,39,37,325.2,155,48,99,8,31,,.948
2013,2 Teams,,Minors,DH,4,4,0.0,0,0,0,0,0,,.000
2013,2 Teams,,Minors,DH,4,4,0.0,0,0,0,0,0,,.000
2013,3 Teams,,Minors,2B,57,57,499.2,262,94,166,2,40,,.992
2013,3 Teams,,Minors,2B,57,57,499.2,262,94,166,2,40,,.992
2013,GCL Orioles,GCL,ROK,2B,5,5,31.2,19,4,14,1,2,,.947
2013,GCL Orioles,GCL,ROK,DH,3,3,0.0,0,0,0,0,0,,.000
2013,Aberdeen IronBirds,NYP,A(Short),2B,2,2,18.0,9,3,6,0,2,,1.000
2013,Aberdeen IronBirds,NYP,A(Short),DH,1,1,0.0,0,0,0,0,0,,.000
2013,Norfolk Tides,INT,AAA,2B,50,50,450.0,234,87,146,1,36,,.996
2013,Norfolk Tides,INT,AAA,SS,20,20,176.2,115,34,73,8,16,,.930
2015,2 Teams,,Minors,2B,9,9,68.0,37,14,23,0,8,,1.000
2015,2 Teams,,Minors,2B,9,9,68.0,37,14,23,0,8,,1.000
2015,Frederick Keys,CAR,A+,2B,2,2,18.0,11,4,7,0,4,,1.000
2015,Bowie Baysox,EAS,AA,2B,7,7,50.0,26,10,16,0,4,,1.000
2018,3 Teams,,Minors,2B,4,4,31.0,10,3,7,0,1,,1.000
2018,3 Teams,,Minors,2B,4,4,31.0,10,3,7,0,1,,1.000
2018,Frederick Keys,CAR,A+,2B,1,1,9.0,4,1,3,0,0,,1.000
2018,Bowie Baysox,EAS,AA,2B,1,1,5.0,3,1,2,0,1,,1.000
2018,Norfolk Tides,INT,AAA,2B,2,2,17.0,3,1,2,0,0,,1.000
2022,2 Teams,,Minors,DH,2,2,0.0,0,0,0,0,0,,.000
2022,2 Teams,,Minors,2B,3,3,22.0,11,6,5,0,1,,1.000
2022,2 Teams,,Minors,DH,2,2,0.0,0,0,0,0,0,,.000
2022,2 Teams,,Minors,2B,3,3,22.0,11,6,5,0,1,,1.000
2022,West Michigan Whitecaps,MID,A+,2B,1,1,6.0,4,1,3,0,0,,1.000
2022,West Michigan Whitecaps,MID,A+,DH,1,1,0.0,0,0,0,0,0,,.000
2022,Toledo Mud Hens,INT,AAA,2B,2,2,16.0,7,5,2,0,1,,1.000
2022,Toledo Mud Hens,INT,AAA,DH,1,1,0.0,0,0,0,0,0,,.000
,3 Teams,,ROK,SS,121,119,1028.1,604,195,371,38,70,,.937
,FCL Orioles,GCL,ROK,2B,5,5,31.2,19,4,14,1,2,,.947
,2 Teams,,ROK,DH,4,4,0.0,0,0,0,0,0,,.000
,DSL BAL Black,DSL,ROK,3B,1,0,1.0,0,0,0,0,0,,.000
,2 Teams,,AAA,2B,54,54,483.0,244,93,150,1,37,,.996
,Toledo Mud Hens,INT,AAA,DH,1,1,0.0,0,0,0,0,0,,.000
,Norfolk Tides,INT,AAA,SS,20,20,176.2,115,34,73,8,16,,.930
,Bowie Baysox,EAS,AA,2B,96,91,810.1,456,172,271,13,73,,.971
,Bowie Baysox,EAS,AA,SS,39,37,325.2,155,48,99,8,31,,.948
,2 Teams,,A+,2B,67,67,582.1,301,122,172,7,38,,.977
,Frederick Keys,,A+,3B,3,2,24.0,10,2,8,0,1,,1.000
,Frederick Keys,,A+,SS,13,10,97.2,59,15,40,4,4,,.932
,Frederick Keys,,A+,LF,1,0,7.0,0,0,0,0,0,,.000
,2 Teams,,A+,DH,5,5,0.0,0,0,0,0,0,,.000
,Delmarva Shorebirds,CAR,A,2B,1,1,9.0,3,2,1,0,0,,1.000
,Delmarva Shorebirds,CAR,A,3B,20,20,175.2,72,16,48,8,2,,.889
,Delmarva Shorebirds,CAR,A,SS,31,30,279.0,175,52,114,9,25,,.949
,Aberdeen IronBirds,SAL,A(Short),2B,2,2,18.0,9,3,6,0,2,,1.000
,Aberdeen IronBirds,SAL,A(Short),DH,1,1,0.0,0,0,0,0,0,,.000
,4 Teams,,Minors,2B,104,99,869.0,487,181,292,14,77,,.971
,3 Teams,,Minors,3B,24,22,200.2,82,18,56,8,3,,.902
,4 Teams,,Minors,SS,103,97,879.0,504,149,326,29,76,,.942
,1 Teams,,Minors,LF,1,0,7.0,0,0,0,0,0,,.000
,2 Teams,,Minors,DH,2,2,0.0,0,0,0,0,0,,.000
,4 Teams,,Minors,2B,104,99,869.0,487,181,292,14,77,,.971
,3 Teams,,Minors,3B,24,22,200.2,82,18,56,8,3,,.902
,4 Teams,,Minors,SS,103,97,879.0,504,149,326,29,76,,.942
,1 Teams,,Minors,LF,1,0,7.0,0,0,0,0,0,,.000
Career Minors,2 Teams,,,DH,2,2,0.0,0,0,0,0,0,,.000
