Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,-0.2,-2,929,33.5,232,.223,.441,.339,17.0,13.8,13.7,.256,.476,.357,43.0
2022,Slider,,0.1,1,758,27.3,182,.232,.345,.294,31.8,23.1,18.7,.221,.313,.258,27.7
2022,Sinker,,-0.6,-2,360,13.0,117,.250,.444,.322,8.8,9.4,13.8,.286,.444,.338,38.4
2022,Changeup,,0.0,0,268,9.7,74,.203,.319,.268,21.2,20.3,13.6,.161,.227,.205,29.6
2022,Curveball,,4.3,10,229,8.2,56,.404,.731,.500,13.6,14.3,11.9,.270,.445,.328,37.8
2022,Cutter,,0.5,1,212,7.6,55,.280,.400,.336,24.7,16.4,18.8,.264,.395,.310,19.0
2022,Splitter,,17.1,3,20,0.7,8,.375,.875,.519,41.7,37.5,33.3,.193,.428,.259,40.0
2021,4-Seamer,,0.9,9,954,32.6,264,.295,.658,.435,17.3,15.5,14.9,.282,.566,.394,50.3
2021,Slider,,0.3,2,668,22.9,128,.177,.398,.288,33.5,35.9,21.3,.152,.275,.237,26.5
2021,Sinker,,1.0,4,421,14.4,122,.349,.587,.436,12.9,8.2,12.7,.323,.540,.404,38.4
2021,Changeup,,-0.7,-2,328,11.2,80,.260,.416,.320,26.3,26.3,19.4,.228,.345,.264,37.5
2021,Cutter,,1.2,3,270,9.2,65,.226,.565,.346,18.9,20.0,17.1,.205,.428,.283,44.0
2021,Curveball,,0.7,2,254,8.7,62,.204,.370,.290,26.8,24.2,15.8,.213,.403,.306,32.5
2021,Splitter,,-1.7,0,25,0.9,2,.000,.000,.000,14.3,0.0,0.0,.603,.657,.552,50.0
2021,N/A,,4.0,0,3,0.1,1,1.000,1.000,.900,50.0,0.0,--,.911,1.056,.865,0.0
2020,4-Seamer,,-0.8,-3,334,33.9,86,.247,.390,.347,20.1,17.4,15.0,.262,.450,.343,38.7
2020,Slider,,-2.1,-4,170,17.3,31,.037,.148,.155,41.1,25.8,16.3,.112,.175,.198,10.5
2020,Sinker,,0.3,1,167,17.0,42,.343,.400,.412,11.3,9.5,10.5,.250,.344,.334,25.8
2020,Changeup,,1.7,2,105,10.7,22,.158,.316,.268,37.2,36.4,21.1,.147,.206,.228,18.2
2020,Curveball,,0.6,1,99,10.1,29,.222,.481,.322,16.7,27.6,21.1,.167,.344,.245,21.1
2020,Cutter,,1.0,1,97,9.9,23,.261,.522,.328,21.2,17.4,11.8,.214,.425,.264,31.6
2020,Splitter,,-6.5,-1,11,1.1,3,.000,.000,.000,50.0,100.0,60.0,--,--,.000,--
2019,4-Seamer,,1.8,18,981,33.1,242,.293,.639,.455,14.5,13.2,12.4,.281,.595,.411,43.9
2019,Slider,,0.0,0,569,19.2,128,.229,.390,.300,25.5,19.5,13.4,.233,.423,.302,29.8
2019,Sinker,,2.1,10,469,15.8,146,.323,.617,.442,9.1,7.5,11.0,.325,.603,.415,49.2
2019,Curveball,,1.5,5,332,11.2,80,.282,.394,.350,19.0,12.5,9.4,.255,.362,.309,23.0
2019,Changeup,,2.6,8,323,10.9,77,.273,.485,.392,26.8,18.2,13.7,.231,.345,.312,34.6
2019,Cutter,,-0.9,-2,214,7.2,54,.286,.388,.348,27.5,14.8,13.1,.260,.375,.309,29.3
2019,Splitter,,-3.7,-1,25,0.8,6,.000,.000,.117,25.0,16.7,8.3,.304,.355,.355,25.0
2018,4-Seamer,,-0.4,-3,925,32.1,222,.234,.484,.355,16.3,14.9,12.5,.254,.502,.372,44.9
2018,Sinker,,-0.6,-4,583,20.2,156,.301,.378,.344,10.9,10.9,13.5,.302,.431,.351,44.1
2018,Slider,,0.4,2,528,18.3,124,.233,.300,.256,26.0,25.8,17.8,.196,.260,.215,14.8
2018,Changeup,,-0.5,-1,304,10.6,72,.231,.323,.282,28.9,20.8,17.0,.220,.293,.253,17.3
2018,Curveball,,3.9,12,300,10.4,69,.333,.470,.364,22.3,20.3,13.6,.253,.311,.265,11.5
2018,Cutter,,-1.2,-2,177,6.1,41,.162,.270,.239,31.5,34.1,23.7,.203,.293,.243,29.2
2018,Splitter,,-2.6,-1,49,1.7,14,.154,.154,.179,38.1,35.7,21.7,.157,.249,.215,25.0
2018,Knuckleball,,-7.3,0,5,0.2,1,.000,.000,.000,100.0,100.0,100.0,--,--,.000,--
2017,4-Seamer,,0.3,2,544,34.2,118,.284,.480,.384,17.6,12.7,9.7,.265,.450,.352,32.6
2017,Sinker,,-0.6,-2,330,20.7,84,.236,.319,.310,18.4,17.9,22.7,.272,.442,.349,36.2
2017,Slider,,-0.8,-2,308,19.3,76,.239,.328,.301,36.7,32.9,22.5,.201,.263,.258,28.6
2017,Curveball,,1.6,2,140,8.8,38,.263,.395,.308,21.5,21.1,12.7,.248,.326,.245,13.3
2017,Changeup,,2.3,3,129,8.1,39,.229,.571,.368,39.3,33.3,32.5,.222,.440,.320,36.4
2017,Cutter,,-2.4,-3,108,6.8,21,.222,.333,.271,32.1,19.0,14.3,.270,.379,.364,26.7
2017,Splitter,,-5.7,-2,28,1.8,8,.000,.000,.000,53.8,62.5,33.3,.070,.078,.063,0.0
