Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Los Angeles Dodgers,MLB,First Inning,94,84,11,23,5,0,7,26,9,19,0,0,1,.274,.351,.583,.934
Los Angeles Dodgers,MLB,Second Inning,46,43,6,10,2,0,3,6,3,11,0,0,0,.233,.283,.488,.771
Los Angeles Dodgers,MLB,Third Inning,56,50,4,15,2,1,1,8,6,11,0,0,0,.300,.375,.440,.815
Los Angeles Dodgers,MLB,Fourth Inning,81,71,15,24,4,1,3,9,8,9,0,0,2,.338,.420,.549,.969
Los Angeles Dodgers,MLB,Fifth Inning,56,47,5,9,3,0,1,6,5,13,1,0,2,.191,.286,.319,.605
Los Angeles Dodgers,MLB,Sixth Inning,67,61,7,14,5,0,2,11,4,10,0,0,2,.230,.299,.410,.709
Los Angeles Dodgers,MLB,Seventh Inning,62,49,7,5,1,0,2,5,11,13,0,0,1,.102,.274,.245,.519
Los Angeles Dodgers,MLB,Eighth Inning,68,60,11,19,2,1,4,14,6,3,0,0,1,.317,.382,.583,.965
Los Angeles Dodgers,MLB,Ninth Inning,38,34,2,12,2,0,1,1,3,5,0,0,1,.353,.421,.500,.921
Los Angeles Dodgers,MLB,Extra Innings,10,9,0,1,0,0,0,1,1,2,0,0,0,.111,.200,.111,.311
