Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Washington Nationals,MLB,April,101,79,15,19,4,0,4,5,21,15,1,0,1,.241,.406,.443,.849
Washington Nationals,MLB,May,123,102,14,24,7,0,5,11,21,17,3,1,0,.235,.366,.451,.817
Washington Nationals,MLB,June,109,87,14,17,4,0,5,16,21,18,1,1,1,.195,.358,.414,.772
Washington Nationals,MLB,July,99,73,17,23,2,1,6,13,25,12,0,0,1,.315,.495,.616,1.111
San Diego Padres,MLB,August,105,82,18,21,3,1,3,6,22,13,0,0,0,.256,.413,.427,.840
Washington Nationals,MLB,August,4,1,2,1,0,0,1,1,3,0,1,0,0,1.000,1.000,4.000,5.000
San Diego Padres,MLB,September,108,86,12,19,5,0,2,9,21,16,0,0,1,.221,.380,.349,.729
San Diego Padres,MLB,October,15,14,1,3,0,0,1,1,1,5,0,0,0,.214,.267,.429,.696
Washington Nationals,MLB,Pre All-Star,393,312,57,78,17,0,20,43,79,54,5,2,2,.250,.405,.497,.902
Washington Nationals,MLB,Post All-Star,43,30,5,6,0,1,1,3,12,8,1,0,1,.200,.442,.367,.809
San Diego Padres,MLB,Post All-Star,228,182,31,43,8,1,6,16,44,34,0,0,1,.236,.388,.390,.778
