Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2016,2 Teams,,Minors,RF,48,47,395.2,84,76,6,2,2,,.976
2016,GCL Nationals,GCL,ROK,RF,42,42,353.1,70,65,5,0,1,,1.000
2016,GCL Nationals,GCL,ROK,DH,3,3,0.0,0,0,0,0,0,,.000
2016,Auburn Doubledays,NYP,A(Short),CF,1,0,5.0,0,0,0,0,0,,.000
2016,Auburn Doubledays,NYP,A(Short),RF,6,5,42.1,14,11,1,2,1,,.857
2017,2 Teams,,Minors,RF,28,28,206.0,39,37,0,2,0,,.949
2017,GCL Nationals,GCL,ROK,RF,9,9,47.0,7,7,0,0,0,,1.000
2017,Hagerstown Suns,SAL,A(Full),LF,2,2,20.0,4,4,0,0,0,,1.000
2017,Hagerstown Suns,SAL,A(Full),RF,19,19,159.0,32,30,0,2,0,,.938
2017,Hagerstown Suns,SAL,A(Full),DH,2,2,0.0,0,0,0,0,0,,.000
2018,2 Teams,,Minors,LF,5,5,38.0,9,9,0,0,0,,1.000
2018,3 Teams,,Minors,RF,32,32,271.0,64,60,2,2,0,,.969
2018,Hagerstown Suns,SAL,A(Full),CF,2,2,18.0,7,7,0,0,0,,1.000
2018,Hagerstown Suns,SAL,A(Full),RF,14,14,116.0,30,28,1,1,0,,.967
2018,Potomac Nationals,CAR,A(Adv),LF,1,1,9.0,3,3,0,0,0,,1.000
2018,Potomac Nationals,CAR,A(Adv),RF,14,14,125.0,27,25,1,1,0,,.963
2018,Harrisburg Senators,EAS,AA,LF,4,4,29.0,6,6,0,0,0,,1.000
2018,Harrisburg Senators,EAS,AA,RF,4,4,30.0,7,7,0,0,0,,1.000
,FCL Nationals,GCL,ROK,RF,51,51,400.1,77,72,5,0,1,,1.000
,FCL Nationals,GCL,ROK,DH,3,3,0.0,0,0,0,0,0,,.000
,Harrisburg Senators,EAS,AA,LF,4,4,29.0,6,6,0,0,0,,1.000
,Harrisburg Senators,EAS,AA,RF,4,4,30.0,7,7,0,0,0,,1.000
,Fredericksburg Nationals,CAR,A+,LF,1,1,9.0,3,3,0,0,0,,1.000
,Fredericksburg Nationals,CAR,A+,RF,14,14,125.0,27,25,1,1,0,,.963
,Hagerstown Suns,SAL,A,LF,2,2,20.0,4,4,0,0,0,,1.000
,Hagerstown Suns,SAL,A,CF,2,2,18.0,7,7,0,0,0,,1.000
,Hagerstown Suns,SAL,A,RF,33,33,275.0,62,58,1,3,0,,.952
,Hagerstown Suns,SAL,A,DH,2,2,0.0,0,0,0,0,0,,.000
,Auburn Doubledays,NYP,A(Short),CF,1,0,5.0,0,0,0,0,0,,.000
,Auburn Doubledays,NYP,A(Short),RF,6,5,42.1,14,11,1,2,1,,.857
,3 Teams,,Minors,LF,7,7,58.0,13,13,0,0,0,,1.000
,2 Teams,,Minors,CF,3,2,23.0,7,7,0,0,0,,1.000
,5 Teams,,Minors,RF,108,107,872.2,187,173,8,6,2,,.968
Career Minors,2 Teams,,,DH,5,5,0.0,0,0,0,0,0,,.000
