Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,2.3,15,643,29.6,168,.273,.587,.407,25.9,14.9,14.4,.283,.577,.411,49.2
2022,Slider,,-0.3,-1,506,23.3,121,.193,.339,.305,34.8,24.8,18.3,.227,.345,.288,35.0
2022,Sinker,,1.0,4,443,20.4,129,.324,.459,.388,19.6,12.4,18.4,.285,.400,.349,40.6
2022,Changeup,,-1.9,-5,254,11.7,72,.231,.262,.256,31.8,23.6,20.2,.231,.290,.265,38.8
2022,Cutter,,0.5,1,146,6.7,50,.255,.532,.353,18.2,2.0,3.2,.314,.522,.380,45.7
2022,Curveball,,5.6,8,146,6.7,31,.379,.828,.518,41.8,25.8,17.0,.257,.475,.335,42.9
2022,Splitter,,5.0,2,37,1.7,11,.333,.444,.486,47.1,27.3,27.3,.232,.303,.317,33.3
2021,4-Seamer,,3.9,18,453,34.1,121,.299,.753,.481,20.9,14.0,13.9,.325,.807,.514,53.1
2021,Slider,,0.3,1,301,22.7,74,.254,.493,.330,35.1,35.1,26.8,.202,.379,.262,33.3
2021,Sinker,,1.3,3,193,14.5,53,.333,.604,.443,16.1,11.3,18.8,.282,.423,.339,40.5
2021,Changeup,,-1.4,-2,139,10.5,39,.167,.306,.262,36.8,35.9,30.4,.130,.252,.202,22.7
2021,Curveball,,2.5,3,118,8.9,21,.222,.611,.393,33.3,23.8,16.1,.197,.417,.318,38.5
2021,Cutter,,-0.2,0,109,8.2,29,.200,.240,.264,27.5,31.0,32.1,.229,.342,.306,31.3
2021,Splitter,,0.8,0,15,1.1,4,.250,.250,.225,62.5,50.0,40.0,.186,.233,.178,100.0
2020,4-Seamer,,1.7,5,293,35.7,76,.290,.726,.474,21.8,13.2,13.5,.326,.731,.477,52.8
2020,Slider,,1.7,3,165,20.1,33,.233,.500,.342,31.9,27.3,15.0,.257,.533,.364,47.6
2020,Sinker,,-0.2,0,118,14.4,34,.300,.300,.321,13.6,11.8,20.0,.319,.432,.372,34.6
2020,Changeup,,1.3,1,91,11.1,31,.214,.536,.347,41.5,29.0,36.0,.248,.500,.348,52.6
2020,Cutter,,3.3,3,79,9.6,23,.222,.389,.365,32.5,8.7,10.0,.255,.437,.355,35.3
2020,Curveball,,4.4,3,64,7.8,22,.278,.556,.500,16.7,13.6,15.0,.343,.608,.464,13.3
2020,Splitter,,-0.4,0,10,1.2,3,.333,.333,.300,40.0,33.3,25.0,.173,.193,.159,0.0
2019,4-Seamer,,3.3,25,769,33.4,169,.369,.851,.537,22.2,21.3,17.0,.318,.730,.473,55.1
2019,Sinker,,0.4,2,431,18.7,100,.311,.578,.418,17.7,12.0,11.1,.309,.615,.414,44.9
2019,Slider,,4.3,17,401,17.4,112,.351,.638,.465,35.8,19.6,18.0,.304,.569,.416,41.7
2019,Changeup,,-2.0,-5,265,11.5,71,.161,.306,.265,29.8,15.5,13.9,.225,.437,.317,30.8
2019,Curveball,,1.1,2,184,8.0,39,.235,.471,.372,24.6,25.6,13.7,.278,.532,.380,54.2
2019,Cutter,,-1.8,-3,161,7.0,42,.150,.250,.218,47.9,45.2,39.6,.184,.321,.234,33.3
2019,Splitter,,-4.2,-1,23,1.0,6,.000,.000,.117,22.2,33.3,15.4,.057,.073,.165,0.0
2019,N/A,,4.4,0,5,0.2,1,--,--,.700,--,0.0,--,--,--,.700,--
2018,4-Seamer,,0.9,7,819,32.7,201,.283,.530,.412,20.5,18.9,19.2,.276,.585,.419,46.5
2018,Sinker,,-2.1,-11,530,21.2,123,.200,.227,.251,21.1,21.1,23.2,.225,.355,.300,38.1
2018,Slider,,0.5,2,476,19.0,118,.215,.374,.300,33.9,26.3,20.0,.217,.347,.284,26.3
2018,Changeup,,3.4,8,220,8.8,61,.327,.527,.391,22.0,9.8,9.7,.283,.499,.350,29.4
2018,Curveball,,5.0,11,212,8.5,58,.400,.673,.472,23.1,10.3,9.4,.324,.576,.398,42.9
2018,Cutter,,1.3,3,199,8.0,40,.306,.444,.363,26.4,15.0,9.8,.247,.426,.331,30.0
2018,Splitter,,-8.5,-3,34,1.4,13,.077,.077,.069,36.8,53.8,41.2,.111,.136,.109,33.3
2018,Knuckleball,,11.6,0,4,0.2,1,--,--,.700,--,0.0,--,--,--,.700,--
2017,4-Seamer,,1.5,12,796,31.2,200,.301,.596,.434,21.4,17.0,14.6,.287,.603,.421,48.9
2017,Sinker,,1.5,8,563,22.1,155,.321,.555,.431,14.6,9.0,10.9,.342,.585,.427,46.8
2017,Slider,,-0.1,-1,547,21.5,130,.200,.313,.290,35.2,30.8,23.8,.219,.337,.291,29.3
2017,Changeup,,2.5,5,215,8.4,49,.333,.556,.424,31.7,16.3,12.5,.338,.577,.411,51.4
2017,Curveball,,0.9,2,209,8.2,53,.180,.420,.275,15.8,17.0,12.9,.232,.426,.309,35.7
2017,Cutter,,5.3,8,143,5.6,26,.478,1.043,.644,24.5,7.7,6.5,.382,.869,.537,42.9
2017,Splitter,,-1.0,-1,51,2.0,8,.167,.333,.244,20.0,37.5,16.7,.184,.231,.229,25.0
