Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2018,,ALL,0,,0,0,0,0,0,0,9,100%,98%,2%
2018,,RF,0,,0,0,0,0,0,0,3,100%,98%,2%
2018,,CF,0,,0,0,0,0,0,0,3,100%,98%,2%
2018,,LF,0,,0,0,0,0,0,0,3,100%,99%,1%
2019,,ALL,3,,-1,4,0,0,0,3,97,85%,81%,3%
2019,,RF,0,,0,0,0,0,0,0,2,100%,99%,1%
2019,,CF,1,,0,0,0,0,0,0,18,94%,92%,3%
2019,,LF,1,,0,1,0,0,0,1,10,100%,87%,13%
2019,,SS,0,,-1,2,0,0,0,0,59,80%,79%,1%
2019,,2B,1,,0,1,0,0,0,1,8,75%,64%,11%
2020,,ALL,1,,0,1,0,0,1,1,50,88%,86%,2%
2020,,CF,1,,0,2,0,0,1,1,49,90%,87%,3%
2020,,SS,0,,0,0,0,0,0,0,1,0%,25%,-25%
2021,,ALL,10,,0,3,5,1,7,3,422,91%,88%,2%
2021,,ALL,3,,0,0,3,-1,2,1,254,92%,91%,1%
2021,,ALL,6,,0,3,2,2,5,2,168,88%,84%,4%
2021,,CF,10,,0,3,5,1,7,3,422,91%,88%,2%
2021,,CF,3,,0,0,3,-1,2,1,254,92%,91%,1%
2021,,CF,6,,0,3,2,2,5,2,168,88%,84%,4%
2022,,CF,13,,2,5,6,0,7,6,429,91%,88%,3%
Career,,ALL,27,,2,13,11,2,15,12,1007,90%,87%,3%
