Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2014,DET,AL,3B,2,0,9.0,2,1,1,0,0,,1.000
2014,DET,AL,SS,81,71,622.1,312,113,189,10,49,,.968
2014,DET,AL,DH,1,0,0.0,0,0,0,0,0,,.000
2015,CIN,NL,3B,1,0,1.0,0,0,0,0,0,,.000
2015,CIN,NL,SS,96,95,841.1,431,147,265,19,59,,.956
2016,CIN,NL,3B,151,149,1308.2,397,103,271,23,27,,.942
2016,CIN,NL,SS,2,1,10.0,6,3,3,0,1,,1.000
2016,CIN,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2017,CIN,NL,3B,153,149,1302.0,379,103,267,9,30,,.976
2017,CIN,NL,SS,1,0,3.1,2,0,2,0,0,,1.000
2018,CIN,NL,3B,143,140,1218.0,363,94,250,19,23,,.948
2018,CIN,NL,SS,3,1,11.0,5,2,3,0,0,,1.000
2019,CIN,NL,3B,158,151,1308.2,369,106,246,17,26,,.954
2019,CIN,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2020,CIN,NL,3B,57,57,473.0,127,47,75,5,10,,.961
2021,CIN,NL,3B,104,102,886.0,271,69,193,9,21,,.967
2021,CIN,NL,SS,34,32,285.1,125,40,77,8,17,,.936
2022,SEA,AL,3B,130,129,1144.0,348,112,226,10,23,,.971
2022,SEA,AL,DH,19,18,0.0,0,0,0,0,0,,.000
9 Seasons,3 Teams,,3B,899,877,7650.1,2256,635,1529,92,160,,.959
,2 Teams,,SS,217,200,1773.1,881,305,539,37,126,,.958
,3 Teams,,DH,22,20,0.0,0,0,0,0,0,,.000
