Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Milwaukee Brewers,MLB,First Inning,96,90,5,24,6,0,5,20,5,19,0,0,1,.267,.313,.500,.813
Milwaukee Brewers,MLB,Second Inning,49,46,8,15,3,0,6,12,3,13,0,0,0,.326,.367,.783,1.150
Milwaukee Brewers,MLB,Third Inning,53,46,7,6,3,0,2,5,7,9,1,0,0,.130,.245,.326,.571
Milwaukee Brewers,MLB,Fourth Inning,79,74,7,17,5,0,2,12,4,16,0,1,0,.230,.266,.378,.644
Milwaukee Brewers,MLB,Fifth Inning,55,43,4,5,1,0,1,3,9,9,0,0,3,.116,.309,.209,.518
Milwaukee Brewers,MLB,Sixth Inning,73,63,12,15,1,0,6,10,9,18,0,0,0,.238,.329,.540,.869
Milwaukee Brewers,MLB,Seventh Inning,60,57,5,10,1,0,3,7,3,13,1,0,0,.175,.217,.351,.568
Milwaukee Brewers,MLB,Eighth Inning,72,62,10,15,2,0,5,12,9,16,0,0,0,.242,.333,.516,.849
Milwaukee Brewers,MLB,Ninth Inning,49,43,8,9,1,0,5,8,5,8,0,0,1,.209,.306,.581,.887
Milwaukee Brewers,MLB,Extra Innings,13,5,1,0,0,0,0,0,8,0,0,0,0,.000,.615,.000,.615
