Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2018,NYY,AL,2B,109,104,915.2,405,163,230,12,40,,.970
2018,NYY,AL,SS,21,15,152.0,69,22,42,5,8,,.928
2019,NYY,AL,2B,65,64,547.1,269,113,147,9,48,,.967
2019,NYY,AL,SS,77,73,659.2,282,91,180,11,40,,.961
2019,NYY,AL,DH,5,5,0.0,0,0,0,0,0,,.000
2020,NYY,AL,SS,40,40,320.2,135,40,86,9,13,,.933
2021,NYY,AL,2B,19,19,169.1,73,33,39,1,11,,.986
2021,NYY,AL,SS,108,104,915.2,375,121,236,18,37,,.952
2022,NYY,AL,2B,124,121,1082.2,469,192,270,7,50,,.985
2022,NYY,AL,SS,6,1,15.0,9,4,4,1,0,,.889
2022,NYY,AL,DH,9,9,0.0,0,0,0,0,0,,.000
5 Seasons,NYY,AL,2B,317,308,2715.0,1216,501,686,29,149,,.976
,NYY,AL,SS,252,233,2063.0,870,278,548,44,98,,.949
,NYY,AL,DH,14,14,0.0,0,0,0,0,0,,.000
