Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Houston Astros,MLB,First Inning,64,62,5,21,1,0,4,16,2,9,0,0,0,.339,.359,.548,.907
Houston Astros,MLB,Second Inning,92,82,7,20,4,0,3,5,9,11,7,1,0,.244,.319,.402,.721
Houston Astros,MLB,Third Inning,47,38,2,9,2,0,1,6,8,6,1,1,0,.237,.362,.368,.730
Houston Astros,MLB,Fourth Inning,87,76,18,19,4,0,6,16,10,18,5,0,0,.250,.333,.539,.872
Houston Astros,MLB,Fifth Inning,60,55,6,10,3,0,3,18,4,9,1,0,1,.182,.250,.400,.650
Houston Astros,MLB,Sixth Inning,84,75,12,20,8,0,4,12,8,10,3,2,0,.267,.337,.533,.870
Houston Astros,MLB,Seventh Inning,55,49,6,12,1,1,3,9,5,10,3,0,0,.245,.315,.490,.805
Houston Astros,MLB,Eighth Inning,73,65,9,15,2,0,5,14,8,13,3,0,0,.231,.315,.492,.807
Houston Astros,MLB,Ninth Inning,40,37,5,13,3,0,1,9,3,9,1,0,0,.351,.400,.514,.914
Houston Astros,MLB,Extra Innings,7,5,1,1,0,0,0,2,2,0,1,0,0,.200,.429,.200,.629
