Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2014,2 Teams,,Minors,SS,50,49,444.0,247,90,153,4,31,,.984
2014,2 Teams,,Minors,DH,19,19,0.0,0,0,0,0,0,,.000
2014,2 Teams,,Minors,SS,50,49,444.0,247,90,153,4,31,,.984
2014,2 Teams,,Minors,DH,19,19,0.0,0,0,0,0,0,,.000
2014,Eugene Emeralds,NWL,A(Short),SS,14,14,123.0,79,24,54,1,6,,.987
2014,Eugene Emeralds,NWL,A(Short),DH,9,9,0.0,0,0,0,0,0,,.000
2014,Fort Wayne TinCaps,MID,A(Full),SS,36,35,321.0,168,66,99,3,25,,.982
2014,Fort Wayne TinCaps,MID,A(Full),DH,10,10,0.0,0,0,0,0,0,,.000
2015,2 Teams,,Minors,DH,3,3,0.0,0,0,0,0,0,,.000
2015,2 Teams,,Minors,DH,3,3,0.0,0,0,0,0,0,,.000
2015,3 Teams,,Minors,SS,111,105,924.2,518,168,329,21,73,,.959
2015,3 Teams,,Minors,SS,111,105,924.2,518,168,329,21,73,,.959
2015,San Antonio Missions,TEX,AA,SS,57,55,483.2,256,88,162,6,34,,.977
2015,San Antonio Missions,TEX,AA,DH,2,2,0.0,0,0,0,0,0,,.000
2015,Harrisburg Senators,EAS,AA,SS,10,9,74.1,43,12,27,4,10,,.907
2015,2 Teams,,AA,SS,67,64,558.0,299,100,189,10,44,,.967
2015,Syracuse Chiefs,INT,AAA,2B,2,2,22.0,12,8,4,0,0,,1.000
2015,Syracuse Chiefs,INT,AAA,SS,44,41,366.2,219,68,140,11,29,,.950
2015,Syracuse Chiefs,INT,AAA,DH,1,1,0.0,0,0,0,0,0,,.000
2016,Syracuse Chiefs,INT,AAA,2B,5,5,40.2,19,4,15,0,3,,1.000
2016,Syracuse Chiefs,INT,AAA,SS,71,71,618.1,332,94,229,9,43,,.973
2016,Syracuse Chiefs,INT,AAA,CF,6,6,52.0,20,19,1,0,0,,1.000
2017,2 Teams,,Minors,SS,6,6,32.0,18,5,13,0,3,,1.000
2017,2 Teams,,Minors,SS,6,6,32.0,18,5,13,0,3,,1.000
2017,Potomac Nationals,CAR,A(Adv),SS,3,3,17.0,8,1,7,0,1,,1.000
2017,Potomac Nationals,CAR,A(Adv),DH,1,1,0.0,0,0,0,0,0,,.000
2017,Syracuse Chiefs,INT,AAA,SS,3,3,15.0,10,4,6,0,2,,1.000
2019,Potomac Nationals,CAR,A(Adv),SS,2,2,18.0,13,4,8,1,3,,.923
,Syracuse Mets,INT,AAA,2B,7,7,62.2,31,12,19,0,3,,1.000
,Syracuse Mets,INT,AAA,SS,118,115,1000.0,561,166,375,20,74,,.964
,Syracuse Mets,INT,AAA,CF,6,6,52.0,20,19,1,0,0,,1.000
,Syracuse Mets,INT,AAA,DH,1,1,0.0,0,0,0,0,0,,.000
,2 Teams,,AA,SS,67,64,558.0,299,100,189,10,44,,.967
,San Antonio Missions,TEX,AA,DH,2,2,0.0,0,0,0,0,0,,.000
,Fredericksburg Nationals,CAR,A+,SS,5,5,35.0,21,5,15,1,4,,.952
,Fredericksburg Nationals,CAR,A+,DH,1,1,0.0,0,0,0,0,0,,.000
,Fort Wayne TinCaps,MID,A,SS,36,35,321.0,168,66,99,3,25,,.982
,Fort Wayne TinCaps,MID,A,DH,10,10,0.0,0,0,0,0,0,,.000
,Eugene Emeralds,NWL,A(Short),SS,14,14,123.0,79,24,54,1,6,,.987
,Eugene Emeralds,NWL,A(Short),DH,9,9,0.0,0,0,0,0,0,,.000
,1 Teams,,Minors,2B,7,7,62.2,31,12,19,0,3,,1.000
,4 Teams,,Minors,SS,173,169,1479.0,829,261,543,25,109,,.970
,1 Teams,,Minors,CF,6,6,52.0,20,19,1,0,0,,1.000
,5 Teams,,Minors,DH,23,23,0.0,0,0,0,0,0,,.000
,1 Teams,,Minors,2B,7,7,62.2,31,12,19,0,3,,1.000
,4 Teams,,Minors,SS,173,169,1479.0,829,261,543,25,109,,.970
,1 Teams,,Minors,CF,6,6,52.0,20,19,1,0,0,,1.000
Career Minors,5 Teams,,,DH,23,23,0.0,0,0,0,0,0,,.000
