Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2021,CWS,AL,1B,15,10,99.2,76,71,4,1,3,,.987
2021,CWS,AL,2B,1,1,8.0,3,2,1,0,1,,1.000
2021,CWS,AL,3B,2,1,10.0,1,0,1,0,0,,1.000
2021,CWS,AL,LF,95,86,720.1,137,132,3,2,0,,.985
2021,CWS,AL,RF,18,14,118.1,22,21,0,1,0,,.955
2021,CWS,AL,DH,6,4,0.0,0,0,0,0,0,,.000
2022,CWS,AL,1B,23,22,191.0,160,150,10,0,13,,1.000
2022,CWS,AL,2B,2,0,3.0,1,0,1,0,0,,1.000
2022,CWS,AL,LF,44,40,330.1,68,65,1,2,0,,.971
2022,CWS,AL,RF,45,39,314.2,66,64,0,2,0,,.970
2022,CWS,AL,DH,29,29,0.0,0,0,0,0,0,,.000
2 Seasons,CWS,AL,1B,38,32,290.2,236,221,14,1,16,,.996
,CWS,AL,2B,3,1,11.0,4,2,2,0,1,,1.000
,CWS,AL,3B,2,1,10.0,1,0,1,0,0,,1.000
,CWS,AL,LF,139,126,1050.2,205,197,4,4,0,,.980
,CWS,AL,RF,63,53,433.0,88,85,0,3,0,,.966
,CWS,AL,DH,35,33,0.0,0,0,0,0,0,,.000
