Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2005,DET,AL,P,2,2,11.1,5,2,2,1,0,,.800
2006,DET,AL,P,30,30,186.0,38,11,24,3,4,,.921
2007,DET,AL,P,32,32,201.2,24,7,17,0,0,,1.000
2008,DET,AL,P,33,33,201.0,33,7,24,2,1,,.939
2009,DET,AL,P,35,35,240.0,36,14,20,2,4,,.944
2010,DET,AL,P,33,33,224.1,51,15,34,2,3,,.961
2011,DET,AL,P,34,34,251.0,50,12,33,5,2,,.900
2012,DET,AL,P,33,33,238.1,53,25,24,4,3,,.925
2013,DET,AL,P,34,34,218.1,38,19,17,2,5,,.947
2014,DET,AL,P,32,32,206.0,39,10,23,6,2,,.846
2015,DET,AL,P,20,20,133.1,17,8,6,3,1,,.824
2016,DET,AL,P,34,34,227.2,37,7,29,1,2,,.973
2017,DET,AL,P,28,28,172.0,22,8,13,1,0,,.955
2017,HOU,AL,P,5,5,34.0,2,2,0,0,1,,1.000
2017,2 Teams,,P,33,33,206.0,24,10,13,1,1,,.958
2018,HOU,AL,P,34,34,214.0,20,7,12,1,0,,.950
2019,HOU,AL,P,34,34,223.0,27,17,10,0,0,,1.000
2020,HOU,AL,P,1,1,6.0,3,2,1,0,0,,1.000
2022,HOU,AL,P,28,28,175.0,20,4,15,1,2,,.950
17 Seasons,2 Teams,,P,482,482,3163.0,515,177,304,34,30,,.934
