Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2005,2 Teams,,Minors,P,20,20,118.2,34,13,18,3,0,,.912
2005,2 Teams,,Minors,P,20,20,118.2,34,13,18,3,0,,.912
2005,Lakeland Tigers,FSL,A(Adv),P,13,13,86.0,25,11,12,2,0,,.920
2005,Erie SeaWolves,EAS,AA,P,7,7,32.2,9,2,6,1,0,,.889
2015,Toledo Mud Hens,INT,AAA,P,2,2,8.1,1,0,1,0,0,,1.000
,Toledo Mud Hens,INT,AAA,P,2,2,8.1,1,0,1,0,0,,1.000
,Erie SeaWolves,EAS,AA,P,7,7,32.2,9,2,6,1,0,,.889
,Lakeland Flying Tigers,FSL,A+,P,13,13,86.0,25,11,12,2,0,,.920
,3 Teams,,Minors,P,22,22,127.0,35,13,19,3,0,,.914
Career Minors,3 Teams,,,P,22,22,127.0,35,13,19,3,0,,.914
