Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2017,,1B,0,,0,-2,1,0,0,0,52,71%,72%,-1%
2018,,ALL,-7,,-3,-4,1,-1,-4,-3,89,56%,64%,-7%
2018,,ALL,-7,,-3,-4,1,-1,-4,-3,83,55%,64%,-8%
2018,,ALL,0,,0,0,0,0,0,0,6,67%,62%,5%
2018,,1B,-7,,-3,-4,1,-1,-4,-3,89,56%,64%,-7%
2018,,1B,-7,,-3,-4,1,-1,-4,-3,83,55%,64%,-8%
2018,,1B,0,,0,0,0,0,0,0,6,67%,62%,5%
2019,,1B,-10,,-2,-6,-2,0,-5,-5,150,65%,71%,-7%
2020,,1B,-4,,0,-1,-3,0,-1,-2,95,69%,73%,-4%
2021,,1B,-2,,-1,-2,0,1,0,-3,78,73%,76%,-3%
2022,,ALL,0,,0,2,-1,0,0,0,75,71%,70%,1%
2022,,ALL,0,,0,1,-1,0,1,0,30,67%,66%,0%
2022,,ALL,0,,0,0,0,0,0,1,45,73%,72%,1%
2022,,1B,0,,0,2,-1,0,0,0,75,71%,70%,1%
2022,,1B,0,,0,1,-1,0,1,0,30,67%,66%,0%
2022,,1B,0,,0,0,0,0,0,1,45,73%,72%,1%
Career,,ALL,-22,,-6,-13,-4,0,-10,-12,539,67%,71%,-4%
