Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2014,AZL Giants,AZL,ROK,P,3,1,4.0,0,0,0,0,0,,.000
2015,Salem-Keizer Volcanoes,NWL,A(Short),P,14,14,60.1,16,3,13,0,0,,1.000
2016,Augusta GreenJackets,SAL,A(Full),P,9,9,42.0,6,2,4,0,0,,1.000
2017,Salem-Keizer Volcanoes,NWL,A(Short),P,15,0,28.0,2,0,2,0,0,,1.000
2018,2 Teams,,Minors,P,27,26,104.2,18,3,12,3,0,,.833
2018,2 Teams,,Minors,P,27,26,104.2,18,3,12,3,0,,.833
2018,2 Teams,,Minors,P,27,26,104.2,18,3,12,3,0,,.833
2018,San Jose Giants,CAL,A(Adv),P,21,20,74.0,12,2,7,3,0,,.750
2018,Richmond Flying Squirrels,EAS,AA,P,6,6,30.2,6,1,5,0,0,,1.000
2019,4 Teams,,Minors,P,12,10,63.1,12,2,9,1,0,,.917
2019,4 Teams,,Minors,P,12,10,63.1,12,2,9,1,0,,.917
2019,4 Teams,,Minors,P,12,10,63.1,12,2,9,1,0,,.917
2019,AZL Giants Orange,AZL,ROK,P,1,1,5.0,2,0,2,0,0,,1.000
2019,Augusta GreenJackets,SAL,A(Full),P,2,1,10.0,2,1,1,0,0,,1.000
2019,Richmond Flying Squirrels,EAS,AA,P,8,7,41.1,7,1,5,1,0,,.857
2019,Sacramento River Cats,PCL,AAA,P,1,1,7.0,1,0,1,0,0,,1.000
2021,Sacramento River Cats,PCL,AAA,P,1,1,2.0,1,1,0,0,0,,1.000
,2 Teams,,ROK,P,4,2,9.0,2,0,2,0,0,,1.000
,Sacramento River Cats,PCL,AAA,P,2,2,9.0,2,1,1,0,0,,1.000
,Richmond Flying Squirrels,EAS,AA,P,14,13,72.0,13,2,10,1,0,,.923
,San Jose Giants,CAL,A+,P,21,20,74.0,12,2,7,3,0,,.750
,Augusta GreenJackets,CAR,A,P,11,10,52.0,8,3,5,0,0,,1.000
,Salem-Keizer Volcanoes,NWL,A(Short),P,29,14,88.1,18,3,15,0,0,,1.000
,7 Teams,,Minors,P,81,61,304.1,55,11,40,4,0,,.927
,7 Teams,,Minors,P,81,61,304.1,55,11,40,4,0,,.927
Career Minors,7 Teams,,,P,81,61,304.1,55,11,40,4,0,,.927
