Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,0.1,1,901,40.4,217,.205,.322,.337,21.8,18.0,16.1,.252,.459,.389,33.3
2022,Slider,,1.8,7,383,17.2,97,.250,.476,.353,18.2,22.7,15.6,.259,.424,.342,38.1
2022,Curveball,,-1.5,-4,253,11.4,49,.159,.159,.186,17.6,22.4,14.9,.179,.217,.220,11.8
2022,Sinker,,1.0,2,235,10.5,64,.291,.418,.377,5.1,15.6,15.9,.281,.401,.351,48.9
2022,Changeup,,0.7,2,235,10.5,59,.200,.300,.290,23.4,11.9,7.9,.272,.403,.354,30.2
2022,Cutter,,-0.7,-1,177,7.9,46,.220,.341,.291,29.3,21.7,27.0,.238,.336,.296,35.5
2022,Splitter,,2.3,1,42,1.9,13,.200,.300,.273,23.5,30.8,22.2,.184,.379,.298,42.9
2021,4-Seamer,,1.5,10,671,35.4,168,.314,.500,.418,22.2,21.4,20.0,.278,.481,.384,51.9
2021,Slider,,-0.4,-1,336,17.7,85,.213,.427,.321,25.6,20.0,15.5,.212,.382,.304,44.8
2021,Sinker,,2.4,7,293,15.5,79,.338,.738,.506,11.2,6.3,6.9,.338,.659,.470,48.3
2021,Changeup,,4.3,9,220,11.6,58,.375,.696,.477,14.4,0.0,0.0,.389,.685,.461,44.6
2021,Curveball,,2.0,4,208,11.0,46,.295,.500,.355,21.1,23.9,17.2,.273,.432,.317,42.4
2021,Cutter,,2.2,3,126,6.6,35,.258,.516,.369,25.0,14.3,17.2,.324,.655,.443,42.3
2021,Splitter,,6.3,3,41,2.2,13,.417,.667,.481,15.0,7.7,6.7,.332,.417,.349,45.5
2020,4-Seamer,,0.0,0,258,33.0,53,.256,.419,.367,36.5,30.2,24.2,.274,.479,.391,51.9
2020,Sinker,,0.4,1,137,17.5,39,.241,.690,.463,21.1,23.1,24.3,.232,.509,.409,45.0
2020,Curveball,,4.9,6,127,16.2,28,.417,.833,.527,17.4,10.7,7.1,.286,.595,.395,45.5
2020,Slider,,2.9,4,124,15.8,31,.208,.417,.390,45.2,45.2,28.0,.237,.483,.390,60.0
2020,Changeup,,2.0,2,86,11.0,22,.250,.650,.419,23.8,13.6,13.0,.348,.730,.473,52.9
2020,Cutter,,-2.9,-1,45,5.7,9,.000,.000,.078,17.4,11.1,5.6,.178,.306,.261,42.9
2020,Splitter,,-3.6,0,6,0.8,1,.000,.000,.000,0.0,0.0,0.0,.050,.050,.058,0.0
2019,4-Seamer,,0.8,4,475,31.2,129,.299,.523,.410,15.7,14.0,13.7,.301,.504,.398,39.3
2019,Sinker,,-0.4,-1,257,16.9,72,.288,.515,.372,19.1,22.2,23.2,.280,.453,.342,54.0
2019,Slider,,-0.2,-1,230,15.1,45,.162,.270,.297,19.4,11.1,6.9,.197,.324,.306,31.3
2019,Changeup,,1.4,3,195,12.8,52,.300,.500,.380,18.9,11.5,10.9,.263,.352,.279,40.9
2019,Curveball,,-1.6,-3,190,12.5,42,.220,.293,.256,15.9,16.7,12.1,.280,.369,.292,41.2
2019,Cutter,,-0.3,0,108,7.1,21,.235,.647,.426,25.9,14.3,13.6,.366,.758,.508,50.0
2019,Splitter,,-0.7,0,24,1.6,9,.125,.125,.278,16.7,11.1,16.7,.190,.252,.252,0.0
2018,4-Seamer,,1.4,6,442,35.2,127,.311,.427,.392,12.6,10.2,12.1,.274,.511,.403,47.8
2018,Sinker,,3.1,7,227,18.1,64,.370,.574,.453,9.2,10.9,16.7,.277,.448,.373,38.3
2018,Slider,,0.6,1,192,15.3,47,.279,.372,.311,17.8,17.0,12.3,.286,.358,.308,36.1
2018,Curveball,,0.6,1,139,11.1,24,.238,.381,.329,25.0,33.3,25.8,.256,.401,.315,35.7
2018,Changeup,,0.8,1,139,11.1,43,.256,.359,.307,19.7,16.3,16.3,.275,.436,.344,37.5
2018,Cutter,,-0.6,-1,87,6.9,19,.235,.412,.321,24.4,15.8,15.0,.275,.434,.348,57.1
2018,Splitter,,2.9,1,24,1.9,6,.250,.250,.383,8.3,0.0,0.0,.262,.499,.448,25.0
2017,4-Seamer,,3.1,6,179,35.9,54,.367,.714,.479,21.0,18.5,23.3,.351,.622,.436,43.6
2017,Sinker,,-0.9,-1,83,16.6,29,.227,.227,.311,8.3,6.9,9.5,.252,.364,.356,33.3
2017,Slider,,-1.0,-1,71,14.2,18,.188,.375,.339,10.3,27.8,25.0,.225,.331,.288,27.3
2017,Changeup,,-2.7,-2,62,12.4,19,.278,.333,.292,25.0,10.5,16.7,.279,.339,.294,18.8
2017,Curveball,,0.1,0,61,12.2,8,.250,.625,.363,14.3,12.5,7.7,.184,.454,.259,14.3
2017,Cutter,,4.9,1,21,4.2,4,.333,.667,.488,16.7,25.0,20.0,.393,.407,.442,0.0
2017,Knuckleball,,10.5,1,11,2.2,3,.667,1.667,.967,0.0,33.3,33.3,.131,.199,.143,50.0
2017,Splitter,,-4.5,0,10,2.0,2,.000,.000,.000,100.0,100.0,66.7,--,--,.000,--
