Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,1.3,12,957,34.8,217,.307,.469,.396,19.9,19.8,15.4,.311,.516,.414,56.2
2022,Sinker,,0.2,1,475,17.3,135,.278,.357,.351,16.0,20.7,23.7,.230,.312,.302,43.2
2022,Slider,,1.0,5,472,17.2,119,.250,.398,.332,32.7,30.3,21.4,.244,.370,.306,48.6
2022,Curveball,,-1.2,-4,329,12.0,69,.125,.188,.176,37.6,34.8,23.3,.218,.324,.269,50.0
2022,Changeup,,2.5,7,258,9.4,65,.224,.466,.361,33.9,27.7,22.0,.235,.452,.335,42.5
2022,Cutter,,-1.8,-4,218,7.9,47,.237,.316,.314,22.7,19.1,15.5,.251,.357,.335,33.3
2022,Splitter,,-4.3,-2,38,1.4,14,.077,.077,.114,42.1,28.6,30.8,.209,.257,.242,55.6
2021,4-Seamer,,-0.2,-1,745,37.0,177,.273,.420,.366,18.8,21.5,17.1,.263,.406,.348,45.1
2021,Slider,,0.2,1,348,17.3,71,.228,.246,.288,36.5,33.8,18.0,.200,.299,.298,54.3
2021,Sinker,,1.5,4,270,13.4,77,.279,.377,.371,10.6,20.8,21.6,.277,.369,.369,64.4
2021,Changeup,,2.6,7,250,12.4,71,.274,.581,.413,31.2,21.1,18.1,.264,.505,.373,44.7
2021,Curveball,,-0.7,-2,233,11.6,42,.105,.158,.169,36.5,31.0,15.5,.227,.320,.279,44.0
2021,Cutter,,-0.4,-1,126,6.3,24,.217,.217,.217,31.0,20.8,15.2,.277,.444,.326,44.4
2021,Splitter,,-1.2,0,40,2.0,8,.250,.250,.225,33.3,25.0,14.3,.258,.288,.242,33.3
2020,4-Seamer,,2.4,8,352,32.0,75,.321,.714,.507,26.9,22.7,21.8,.326,.702,.496,66.7
2020,Sinker,,-1.1,-2,201,18.3,45,.184,.368,.326,22.2,31.1,26.4,.243,.415,.346,58.3
2020,Curveball,,-2.2,-4,180,16.4,41,.125,.250,.277,53.6,43.9,31.6,.159,.278,.297,50.0
2020,Slider,,0.9,2,173,15.7,42,.250,.472,.383,41.5,35.7,22.4,.276,.532,.392,61.9
2020,Changeup,,-1.2,-1,121,11.0,23,.100,.250,.217,41.0,30.4,21.9,.221,.346,.304,30.8
2020,Cutter,,-6.8,-4,61,5.5,16,.067,.133,.130,24.0,31.3,31.3,.165,.252,.217,30.0
2020,Splitter,,-0.9,0,12,1.1,3,.000,.000,.000,0.0,0.0,0.0,.202,.247,.210,66.7
2019,4-Seamer,,1.5,11,746,32.6,179,.349,.711,.486,16.2,12.8,10.8,.323,.645,.443,49.6
2019,Sinker,,1.0,4,416,18.2,107,.320,.649,.451,12.6,14.0,16.5,.355,.686,.458,53.7
2019,Slider,,2.8,11,380,16.6,99,.284,.636,.423,46.6,35.4,26.3,.249,.512,.356,37.7
2019,Changeup,,4.2,13,310,13.6,78,.385,.738,.513,39.1,20.5,16.7,.318,.657,.451,49.0
2019,Curveball,,2.4,5,229,10.0,48,.256,.605,.393,45.6,39.6,23.8,.285,.689,.426,62.5
2019,Cutter,,3.1,5,160,7.0,43,.389,.667,.491,24.4,16.3,15.6,.386,.647,.476,44.8
2019,Splitter,,3.0,1,27,1.2,6,.333,.500,.358,56.3,50.0,75.0,.113,.168,.121,33.3
2018,4-Seamer,,1.8,15,820,32.4,177,.364,.669,.478,12.6,19.2,16.1,.347,.672,.472,55.1
2018,Sinker,,1.0,6,552,21.8,155,.328,.507,.403,11.2,9.7,14.9,.358,.577,.442,56.3
2018,Slider,,1.7,7,415,16.4,126,.248,.531,.373,38.5,35.7,28.5,.235,.458,.342,44.9
2018,Changeup,,2.0,7,325,12.8,88,.282,.551,.406,35.3,19.3,16.5,.271,.469,.362,41.0
2018,Curveball,,3.6,10,273,10.8,61,.368,.667,.486,35.3,23.0,17.9,.321,.544,.389,48.8
2018,Cutter,,7.8,9,118,4.7,31,.419,.839,.529,21.4,25.8,29.6,.375,.740,.475,47.8
2018,Splitter,,14.7,4,25,1.0,10,.444,.778,.535,21.4,10.0,14.3,.487,.657,.522,50.0
2017,4-Seamer,,1.8,17,980,34.0,243,.354,.622,.449,12.3,11.9,11.3,.338,.611,.434,51.6
2017,Sinker,,0.7,4,545,18.9,130,.351,.482,.414,10.4,10.8,12.1,.354,.536,.419,51.0
2017,Slider,,-0.7,-3,388,13.5,97,.207,.287,.265,38.6,43.3,26.4,.200,.303,.265,48.9
2017,Changeup,,-0.6,-2,373,12.9,80,.222,.347,.282,35.5,21.3,17.2,.240,.343,.290,35.7
2017,Curveball,,-1.9,-7,366,12.7,68,.153,.203,.217,36.0,32.4,20.2,.194,.238,.252,34.2
2017,Cutter,,0.5,1,121,4.2,39,.212,.273,.287,26.4,25.6,22.2,.213,.323,.300,21.7
2017,Splitter,,-3.7,-2,65,2.3,18,.188,.250,.247,33.3,5.6,5.6,.323,.488,.382,40.0
2017,Knuckleball,,0.2,0,30,1.0,7,.333,.333,.357,17.6,14.3,7.1,.420,.512,.446,40.0
