Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2016,,ALL,6,,-1,3,-3,7,2,4,296,83%,82%,2%
2016,,CF,3,,0,1,1,1,2,1,77,83%,80%,3%
2016,,LF,3,,-1,2,-3,6,0,3,219,84%,82%,1%
2017,,CF,1,,-2,-2,4,1,-5,6,417,88%,87%,0%
2018,,ALL,3,,0,0,-1,2,-1,4,310,88%,87%,1%
2018,,RF,1,,0,-1,-1,2,-1,1,146,90%,90%,0%
2018,,CF,0,,0,1,0,0,1,0,38,89%,89%,1%
2018,,LF,2,,0,0,0,1,-1,3,126,86%,84%,1%
2019,,ALL,-4,,0,-4,-2,1,-2,-2,261,84%,86%,-2%
2019,,RF,-5,,0,-4,-3,1,-2,-3,254,84%,86%,-2%
2019,,CF,0,,0,0,0,0,0,0,1,100%,78%,22%
2019,,LF,0,,0,0,0,0,0,0,6,100%,96%,4%
2020,,LF,-3,,-1,-1,-1,1,-2,-1,79,85%,88%,-3%
2021,,LF,2,,0,0,0,1,1,0,198,90%,90%,1%
2022,,LF,-5,,0,-3,-2,0,-2,-3,219,86%,89%,-2%
Career,,ALL,-1,,-2,-7,-5,13,-9,8,1780,87%,87%,0%
