Id,PlayerId,PlayerType,MatchId,IP,H,R,ER,AB,R,H,RBI
0,621566,Batter,0,,,,,2,1,0,0
1,663586,Batter,0,,,,,4,1,3,2
2,542303,Batter,0,,,,,3,0,0,0
3,621020,Batter,0,,,,,4,0,0,0
4,608331,Pitcher,0,5.2,8,5,5,,,,
5,502054,Batter,1,,,,,3,0,0,0
6,571657,Batter,1,,,,,4,1,2,1
7,592273,Batter,1,,,,,4,1,2,3
8,664023,Batter,2,,,,,4,0,3,2
9,621550,Batter,2,,,,,3,0,0,1
10,663538,Batter,2,,,,,3,1,1,2
11,642715,Batter,3,,,,,5,0,2,1
12,592885,Batter,3,,,,,3,0,0,1
13,457705,Batter,3,,,,,5,1,2,0
14,642133,Batter,3,,,,,4,1,2,0
15,592669,Batter,3,,,,,4,0,1,0
16,669203,Pitcher,3,5.0,4,3,3,,,,
17,518626,Batter,4,,,,,6,0,2,1
18,592450,Batter,4,,,,,5,1,2,0
19,519203,Batter,4,,,,,3,1,1,2
20,518934,Batter,4,,,,,3,1,1,1
21,650402,Batter,4,,,,,0,0,0,1
22,643396,Batter,4,,,,,5,1,0,0
23,543037,Pitcher,4,4.0,4,3,3,,,,
24,646240,Batter,5,,,,,4,1,1,2
25,593428,Batter,5,,,,,5,2,3,1
26,502110,Batter,5,,,,,5,0,1,1
27,657077,Batter,5,,,,,5,0,2,1
28,656941,Batter,6,,,,,4,2,2,2
29,592663,Batter,6,,,,,4,1,1,0
30,592206,Batter,6,,,,,4,0,1,1
31,656555,Batter,6,,,,,3,2,2,2
32,605400,Pitcher,6,6.0,4,4,4,,,,
33,643393,Batter,7,,,,,4,0,1,0
34,669221,Batter,7,,,,,4,1,1,0
35,664913,Batter,7,,,,,4,1,1,3
36,462101,Batter,7,,,,,4,0,0,0
37,621566,Batter,8,,,,,3,1,2,0
38,663586,Batter,8,,,,,2,1,1,0
39,542303,Batter,8,,,,,4,0,3,1
40,621020,Batter,8,,,,,3,0,1,0
41,657140,Pitcher,8,6.0,2,0,0,,,,
42,592273,Batter,9,,,,,1,0,0,0
43,502054,Batter,9,,,,,2,1,0,0
44,571657,Batter,9,,,,,3,0,0,0
45,595879,Batter,10,,,,,4,0,2,0
46,570731,Batter,10,,,,,4,0,1,1
47,572041,Batter,11,,,,,2,0,1,0
48,683734,Batter,11,,,,,2,0,1,1
49,547989,Batter,11,,,,,4,2,2,0
50,656302,Pitcher,11,5.0,2,1,1,,,,
51,518626,Batter,12,,,,,4,1,1,0
52,592450,Batter,12,,,,,3,1,0,0
53,519203,Batter,12,,,,,4,1,1,2
54,518934,Batter,12,,,,,2,0,0,0
55,650402,Batter,12,,,,,3,0,0,0
56,643396,Batter,12,,,,,3,0,0,0
57,646240,Batter,13,,,,,4,0,1,0
58,593428,Batter,13,,,,,3,0,0,0
59,502110,Batter,13,,,,,4,1,1,0
60,657077,Batter,13,,,,,3,1,2,2
61,601713,Pitcher,13,5.2,4,4,4,,,,
62,668227,Batter,14,,,,,4,0,1,0
63,656775,Batter,15,,,,,4,0,0,0
64,663624,Batter,15,,,,,4,1,2,2
65,623993,Batter,15,,,,,3,0,2,0
66,641820,Batter,15,,,,,4,0,1,0
67,669720,Batter,15,,,,,4,0,0,0
68,622761,Batter,15,,,,,3,1,1,1
69,543475,Pitcher,15,5.0,7,5,5,,,,
70,514917,Batter,16,,,,,4,0,1,0
71,665742,Batter,16,,,,,4,0,2,0
72,443558,Batter,16,,,,,4,0,0,0
73,605137,Batter,16,,,,,3,0,1,0
74,657041,Batter,16,,,,,4,0,0,0
75,607043,Batter,17,,,,,4,2,2,0
76,516782,Batter,17,,,,,4,0,0,0
77,596019,Batter,17,,,,,3,1,1,0
78,624413,Batter,17,,,,,5,1,1,4
79,643446,Batter,17,,,,,5,0,1,0
80,605135,Pitcher,17,6.0,3,0,0,,,,
81,518626,Batter,18,,,,,5,0,1,0
82,519203,Batter,18,,,,,3,1,1,2
83,592450,Batter,18,,,,,5,0,2,0
84,650402,Batter,18,,,,,3,0,1,0
85,643396,Batter,18,,,,,3,1,1,0
86,518934,Batter,18,,,,,1,0,0,0
87,656756,Pitcher,18,3.1,4,3,3,,,,
88,646240,Batter,19,,,,,4,1,1,0
89,593428,Batter,19,,,,,3,1,1,0
90,502110,Batter,19,,,,,4,0,1,1
91,657077,Batter,19,,,,,3,0,1,0
92,543807,Batter,20,,,,,5,1,2,1
93,666182,Batter,20,,,,,5,0,0,0
94,665489,Batter,20,,,,,3,1,1,1
95,606192,Batter,20,,,,,4,1,1,0
96,656305,Batter,20,,,,,4,1,2,3
97,543760,Batter,21,,,,,5,0,0,0
98,608369,Batter,21,,,,,5,0,2,1
99,666969,Batter,21,,,,,4,2,0,0
100,663993,Batter,21,,,,,2,0,1,1
101,514917,Batter,22,,,,,4,1,0,0
102,665742,Batter,22,,,,,4,0,0,0
103,443558,Batter,22,,,,,4,1,2,3
104,605137,Batter,22,,,,,3,0,1,0
105,657041,Batter,22,,,,,0,0,0,0
106,607043,Batter,23,,,,,5,0,0,0
107,596019,Batter,23,,,,,3,1,1,1
108,624413,Batter,23,,,,,4,0,0,0
109,500871,Batter,23,,,,,4,1,1,0
110,592192,Batter,23,,,,,4,0,3,1
111,643446,Batter,23,,,,,3,0,1,0
112,660271,Batter,24,,,,,4,1,1,0
113,542583,Batter,25,,,,,3,0,0,0
114,500743,Batter,25,,,,,3,0,0,0
115,656941,Batter,26,,,,,4,1,0,1
116,592663,Batter,26,,,,,4,1,1,2
117,592206,Batter,26,,,,,3,1,1,0
118,656555,Batter,26,,,,,4,1,1,1
119,664761,Batter,26,,,,,1,1,1,0
120,607043,Batter,27,,,,,4,1,2,0
121,516782,Batter,27,,,,,4,1,1,0
122,596019,Batter,27,,,,,4,0,1,1
123,624413,Batter,27,,,,,4,0,0,1
124,500871,Batter,27,,,,,3,1,1,1
125,592192,Batter,27,,,,,4,0,1,1
126,573262,Batter,28,,,,,4,0,1,0
127,642731,Batter,28,,,,,4,1,1,0
128,663757,Batter,29,,,,,4,1,1,0
129,592518,Batter,29,,,,,4,1,1,1
130,630105,Batter,29,,,,,5,0,2,1
131,572228,Batter,29,,,,,3,0,1,0
132,595777,Batter,29,,,,,4,0,1,1
133,673490,Batter,29,,,,,4,1,1,0
134,656941,Batter,30,,,,,4,0,0,0
135,592663,Batter,30,,,,,4,0,2,0
136,592206,Batter,30,,,,,4,0,2,0
137,656555,Batter,30,,,,,4,0,0,0
138,664761,Batter,30,,,,,1,0,0,0
139,607043,Batter,31,,,,,3,1,1,1
140,516782,Batter,31,,,,,3,1,0,0
141,596019,Batter,31,,,,,4,0,1,1
142,624413,Batter,31,,,,,3,0,1,0
143,500871,Batter,31,,,,,3,0,0,0
144,592192,Batter,31,,,,,3,0,0,0
145,643446,Batter,31,,,,,3,0,0,0
146,573262,Batter,32,,,,,5,1,2,1
147,527038,Batter,32,,,,,5,3,3,2
148,642731,Batter,32,,,,,5,2,2,3
149,663757,Batter,33,,,,,4,0,0,0
150,592518,Batter,33,,,,,2,0,0,0
151,630105,Batter,33,,,,,2,0,1,0
152,572228,Batter,33,,,,,4,1,1,0
153,595777,Batter,33,,,,,0,0,0,0
154,673490,Batter,33,,,,,1,0,0,0
155,506433,Pitcher,33,1.2,8,9,9,,,,
156,650490,Batter,34,,,,,2,0,0,0
157,668227,Batter,34,,,,,6,0,1,1
158,643393,Batter,35,,,,,4,1,1,0
159,462101,Batter,35,,,,,3,1,0,0
160,669221,Batter,35,,,,,4,1,0,0
161,664913,Batter,35,,,,,3,2,2,1
162,606466,Batter,36,,,,,3,0,1,2
163,572233,Batter,36,,,,,3,0,0,0
164,662139,Batter,36,,,,,2,0,1,0
165,518876,Pitcher,36,5.1,3,0,0,,,,
166,514888,Batter,37,,,,,5,0,2,0
167,608324,Batter,37,,,,,3,0,0,1
168,663656,Batter,37,,,,,5,0,0,0
169,493329,Batter,37,,,,,4,0,0,0
170,665161,Batter,37,,,,,4,1,1,0
171,664285,Pitcher,37,3.0,2,1,1,,,,
172,621566,Batter,38,,,,,4,0,0,0
173,663586,Batter,38,,,,,3,1,2,1
174,542303,Batter,38,,,,,4,0,0,0
175,621020,Batter,38,,,,,3,0,0,0
176,608331,Pitcher,38,5.1,7,3,2,,,,
177,514917,Batter,39,,,,,4,1,2,0
178,665742,Batter,39,,,,,4,1,1,0
179,443558,Batter,39,,,,,4,0,0,0
180,605137,Batter,39,,,,,4,1,2,1
181,657041,Batter,39,,,,,3,0,0,1
182,547989,Batter,40,,,,,4,0,0,0
183,683734,Batter,40,,,,,3,1,2,0
184,664034,Batter,41,,,,,4,1,1,2
185,608385,Batter,41,,,,,2,0,0,0
186,553993,Batter,41,,,,,3,1,1,0
187,677594,Batter,41,,,,,4,0,0,0
188,641487,Batter,41,,,,,4,1,3,1
189,624428,Batter,41,,,,,2,0,0,0
190,592662,Pitcher,41,6.1,10,6,6,,,,
191,571657,Batter,42,,,,,3,0,0,0
192,592273,Batter,42,,,,,4,0,1,0
193,664702,Batter,43,,,,,5,1,4,0
194,680757,Batter,43,,,,,4,0,0,1
195,608070,Batter,43,,,,,4,1,3,3
196,642708,Batter,43,,,,,5,0,1,0
197,665926,Batter,43,,,,,1,0,0,0
198,663474,Pitcher,43,4.0,3,0,0,,,,
199,519203,Batter,44,,,,,4,1,2,1
200,592450,Batter,44,,,,,4,1,2,1
201,518626,Batter,44,,,,,5,1,1,0
202,518934,Batter,44,,,,,4,0,2,1
